"Data Source","WDI Database Archives",

"Last Updated Date","2019-05-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Azerbaijan","AZE","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3300000000","106227000000","104511000000","104797000000","102960000000","117249000000","117337000000","122463000000","371756000000","377861000000","370205000000","421564000000","400641000000","429776000000","419074000000","414232000000","321208000000","213336000000","190080000000","","","","","","","","",
"Burundi","BDI","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","1386000000","1683000000","1221000000","759000000","825000000","957000000","1188000000","11154000000","6996000000","47553000000","133815000000","203742000000","253968000000","317691000000","359139000000","295911000000","304194000000","248094000000","221232000000","240042000000","196944000000","161865000000","77847000000","121902000000","92169000000","78639000000","32109000000","69102000000","84117000000","177342000000","178365000000","205128000000","220044000000","224796000000","273075000000","335973000000","363330000000","380721000000","496188000000","634623000000","527241000000","520740000000","589644000000","713097000000","708741000000","708319000000","644616000000","660036000000","566858000000","673290000000","626510000000","351215000000","226501000000","","","","","","","",
"Benin","BEN","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"Burkina Faso","BFA","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","13563000000","13563000000","16071000000","24717000000","21780000000","22935000000","29700000000","31746000000","36168000000","37752000000","44319000000","58014000000","70587000000","77022000000","95997000000","100056000000","139557000000","167475000000","185196000000","214995000000","240438000000","254166000000","263109000000","273273000000","313896000000","329802000000","330693000000","359568000000","405174000000","457438000000","502491000000","542740000000","573628000000","699430000000","707526000000","720190000000","706399000000","709784000000","677955000000","535448000000","443388000000","","","","","","","","",
"Bulgaria","BGR","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","107481000000","77286000000","92400000000","287100000000","273240000000","105204000000","95205000000","91278000000","100320000000","84348000000","105930000000","98439000000","66396000000","66429000000","66330000000","63096000000","62964000000","50787000000","58146000000","49302000000","53599000000","60452000000","60736000000","54280000000","39220000000","27538000000","22847000000","","","","","","","","",
"Bahrain","BHR","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","14190000000","14850000000","16500000000","18975000000","23100000000","29700000000","36630000000","39996000000","48642000000","54780000000","59862000000","66297000000","73128000000","72171000000","87021000000","95436000000","98868000000","104346000000","108702000000","114906000000","109560000000","128568000000","140085000000","150150000000","152196000000","165528000000","166320000000","190509000000","196548000000","207801000000","223707000000","240174000000","256344000000","278784000000","274032000000","258160000000","276763000000","274344000000","241120000000","185220000000","152086000000","","","","","","","","",
"Bahamas, The","BHS","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1066000000","756000000","539000000","","","","","","","","",
"Belarus","BLR","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","77697.0682866872","296198.397934553","1061947.92152791","3676450.40063887","11151170.3895685","29968045.8436573","75695272.0294032","185014237.263675","431667867.764045","961163122.109063","2107625567.00579","4134680771.29265","7005230420.69181","10759992669.107","14823205264.5174","18517199567.913","21019457708.6252","22639653964.99","23367642838.0692","634996000000","642004000000","823860000000","792739000000","747091000000","586676000000","599886000000","733282000000","661384000000","758092000000","794160000000","767446000000","815929000000","830627000000","966556000000","924313000000","845936000000","819598000000","781034000000","496346000000","474586000000","348018000000","","","","","","","","",
"Belize","BLZ","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","795000000","1066000000","1423000000","2111000000","2924000000","3841000000","6621000000","7924000000","10227000000","10403000000","11238000000","11073000000","11642000000","11512000000","12466000000","14710000000","18572000000","19872000000","24442000000","28431000000","27109000000","31037000000","32476000000","44514000000","52257000000","54692000000","58460000000","67143000000","64107000000","60412000000","48403000000","52653000000","60081000000","62977000000","76473000000","76532000000","79800000000","75637000000","73100000000","61754000000","49654000000","","","","","","","","",
"Brazil","BRA","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10678000000","11949000000","9009000000","8924000000","15807000000","18468000000","32788000000","39779000000","44543000000","87549000000","133009000000","334490000000","409408000000","432640000000","635722000000","583180000000","511229000000","404699000000","664081000000","266640000000","510650000000","276045000000","","","","","","","","",
"Barbados","BRB","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei","BRN","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","8118000000","8118000000","8118000000","8118000000","8118000000","8118000000","8118000000","8118000000","8118000000","11187000000","15477000000","18579000000","22374000000","24618000000","25146000000","25410000000","34155000000","35937000000","36993000000","38313000000","41481000000","46035000000","50622000000","54417000000","64383000000","69531000000","78804000000","81906000000","79596000000","83160000000","84315000000","88308000000","102643000000","104965000000","99232000000","91466000000","87412000000","77970000000","71500000000","52766000000","40546000000","","","","","","","","",
"Bhutan","BTN","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"Sub-Saharan Africa (IFC classification)","CAA","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","134112000000","141801000000","144969000000","145662000000","143880000000","197505000000","216810000000","219582000000","253209000000","196119000000","210243000000","230208000000","303435000000","534567000000","431475000000","511731000000","439164000000","408540000000","331353000000","361152000000","303336000000","286110000000","298023000000","290202000000","201960000000","224664000000","227238000000","203247000000","311256000000","489555000000","318582000000","284526000000","433026000000","504867000000","509421000000","699270000000","606078000000","686499000000","854403000000","904596000000","1104576000000","1187373000000","1116555000000","1090650000000","1129244000000","1070800000000","947676000000","1058200000000","940157000000","957582000000","957366000000","843658000000","683221000000","","","","","","","",
"East Asia and the Pacific (IFC classification)","CEA","Electricity production from natural gas sources (kWh)","EG.ELC.NGAS.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
