"Data Source","World Development Indicators",

"Last Updated Date","2020-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Electricity production from oil, gas and coal sources (% of total)","EG.ELC.FOSL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Electricity production from oil, gas and coal sources (% of total)","EG.ELC.FOSL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Electricity production from oil, gas and coal sources (% of total)","EG.ELC.FOSL.ZS","","","","","","","","","","","","18.4636118598383","18.854415274463","17.2764227642276","30.1871440195281","27.2030651340996","26.8376068376068","26.8376068376068","9.74358974358974","11.9047619047619","11.8518518518519","11.8518518518519","12.3611111111111","26.1813537675607","10.2985074626866","13.0272952853598","13.0272952853598","13.4567901234568","13.9877300613497","13.3089133089133","13.7931034482759","17.3447537473233","11.29883843717","6.31578947368421","6.282722513089","6.25","10.0194552529183","23.6474694589878","19.5751138088012","33.0337078651685","36.8858131487889","37.9120879120879","35.2407932011331","37.7944862155388","21.594982078853","20.3517587939699","19.3889897156685","22.3811004041032","24.5909528392685","34.6568109820486","32.0425766195632","29.0921960714918","39.2005157962605","41.9790652385589","46.8248945147679","46.8250716919295","","","","","",
"Albania","ALB","Electricity production from oil, gas and coal sources (% of total)","EG.ELC.FOSL.ZS","","","","","","","","","","","","42.8571428571429","37.9310344827586","33.7837837837838","31.5789473684211","28.0898876404494","25.4901960784314","23.4782608695652","22.5806451612903","21.1678832116788","20.5921938088829","18.6666666666667","16.9986719787517","15.3439153439153","26.3115415657789","32.3164918970448","20.4661182922052","23.7770193401593","26.2299196787149","25.3456221198157","13.5922330097087","7.85751702462022","4.94991160872127","6.09237744403514","4.31362598325298","6.01386094343841","4.27950518221331","3.82555470543229","3.67978077901742","2.67084177564929","3.8509836751779","4.6916890080429","6.04601391118245","2.14342948717949","2.49732429539779","1.28605548410803","1.68356263577118","2.51748251748252","0","0.0192233756247597","0.0132135306553911","1.4077785731329","0","0","0","0","","","","","",
"Andorra","AND","Electricity production from oil, gas and coal sources (% of total)","EG.ELC.FOSL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Electricity production from oil, gas and coal sources (% of total)","EG.ELC.FOSL.ZS","","","","","","","","","","","","67.732060383235","69.1056540183993","73.4515093150244","72.1806586588174","74.0457425018388","74.6711599044022","75.0602292602836","77.6612821145935","80.7116594858846","83.1278249788169","85.0791244655298","86.9968642764437","89.0529314384632","90.013116007974","91.090293553866","91.6383575513978","91.3409483254576","91.8812662332466","91.7341450031476","84.7494565440167","84.7632308456308","84.8313650588919","84.6783989928294","84.8128085180624","85.0459457137208","84.7901507625048","85.370073047112","85.530340864696","86.6011190692125","87.5417677532965","89.4408237943882","91.0225657413442","91.5781598256627","91.7333465947839","90.0853538734945","89.922484938789","89.9847877496621","90.3294562343198","86.8171913538847","85.8455372831921","86.0365281737414","86.7452028557574","87.0575073750651","86.2433897653434","86.100436770305","","","","","",
"United Arab Emirates","ARE","Electricity production from oil, gas and coal sources (% of total)","EG.ELC.FOSL.ZS","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","99.905857543635","99.7416929836606","99.7675988882433","","","","","",
"Argentina","ARG","Electricity production from oil, gas and coal sources (% of total)","EG.ELC.FOSL.ZS","","","","","","","","","","","","93.2229935658652","93.7643246660871","88.5563182176212","78.0966010733453","73.4860102920628","74.7087635689701","76.972202511338","67.9697314111384","64.2809702186446","55.724575630887","54.7233450912742","50.9301509301509","48.9012394484106","45.2564159587244","41.3940130343533","45.254372181295","45.3986433251984","59.8974084140413","64.1206865831205","50.2089081592432","55.0994908901031","52.4579016123548","48.4799272443809","44.6323654797154","49.2427068566739","55.8964497890538","49.6016487316385","53.5399664919202","63.8746318366535","59.8931503767855","50.336791877046","49.5435330894107","53.8270129305661","60.5091598861878","59.9596174081201","55.6756402698631","63.438998277708","67.6285319561857","64.3788088813064","65.6897886846076","62.7764270001158","66.0237268390512","64.0525460532938","64.2570688132501","66.935022110005","","","","","",
"Armenia","ARM","Electricity production from oil, gas and coal sources (% of total)","EG.ELC.FOSL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.9932445473847","83.7536780159731","66.1928031985784","31.803018268467","37.8932484977024","60.0251753281784","37.3028644995172","50.2902637253276","49.5073493781295","42.6622354381669","45.1829472977509","48.5639686684073","28.6102554810654","27.6495182694056","30.3648424543947","28.9377869241729","24.8443023060091","25.2458460495083","26.1698440207972","20.3491447716452","22.1537513480203","32.1668909825034","42.297162767546","41.1543450064851","42.4387096774194","35.9148608795999","","","","","",
"American Samoa","ASM","Electricity production from oil, gas and coal sources (% of total)","EG.ELC.FOSL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
