Terawatt-hours,Wind,Solar,Other renewables*,Total,Wind_2,Solar_2,Other renewables*_2,Total_2,Wind_3,Solar_3,Other renewables*_3,Total_3,n,o
Canada,32.6596696969697,4.216972727272728,10.262021052631578,47.138663476874,36.10247467347183,4.424325252525254,10.694889462744376,51.22168938874146,0.10239430975102803,0.04630435564062063,0.03933410373858437,0.08364844588337617,,
Mexico,16.726666680048,7.366388894782,8.225945145697471,32.31900072052748,19.706818407682547,11.873529631189705,7.596099790189259,39.176447829061516,0.17494866236462459,0.6074481625301147,-0.07909118222845801,0.20886808017253178,,
US,298.871195959596,107.97373737373739,76.82054315789473,483.6654764912281,340.91900505050506,133.97070707070708,76.82545789473687,551.7151700159491,0.13757209445192808,0.23738114598180649,-0.0026684383811208523,0.13757912909175052,,
Total North America,348.2575323366137,119.55709899579212,95.30850935622378,563.1231406886295,396.72829813165947,150.26856195442204,95.1164471476705,642.113307233752,0.1360682951446488,0.2534428601206764,-0.004741897808933526,0.13715607301701582,,
Argentina,4.995966423999997,0.7996979130000001,0.6229445618688644,6.418608898868862,9.470297616854376,1.3443409347923747,0.41394119113713695,11.228579742783888,0.8904095194442978,0.6764678891052793,-0.3373243310164623,0.7445992955159142,,
Brazil,55.98562167983402,6.654579082808069,54.920876610949044,117.56107737359113,57.01361507360342,7.958688662863959,55.3680730069685,120.34037674343588,0.01557933024633873,0.19270407836573966,0.00538806964277927,0.02084448850784293,,
Chile,4.895221293637153,6.300226398623749,9.546549542543515,20.741997234804415,5.62554066316346,7.61484351488932,10.338383949396723,23.578768127449504,0.14605040241486722,0.20535953012326402,0.07998570088270363,0.13365868279342807,,
Colombia,0.063324063,0.13122602388000001,2.439808307741437,2.634358394621437,0.02902352888,0.1794025494025612,2.4346620910865213,2.6430881693690824,-0.5429189434549544,0.3633909891696565,-0.004835748297750908,0.0005725198118067265,,
Ecuador,0.08552693725000009,0.1664522795829998,0.45472344827000005,0.706702665103,0.08552693725000009,0.16644625525139067,0.4847936567853065,0.7367668492866972,-0.002732240437158473,-0.0027683340953633673,0.06321564412814595,0.03969301573417727,,
Peru,1.655,0.763,0.52998,2.9479800000000003,1.804,0.778,0.6942295948098006,3.2762295948098004,0.08705198685883153,0.016873285635505386,0.30633758375446085,0.10831082566009465,,
Trinidad & Tobago,0,0.004669990925118327,0,0.004669990925118327,0,0.004671000000000001,0,0.004671000000000001,0,-0.0025167543981887697,0,-0.0025167543981887697,,
Venezuela,0,0.01257149441556098,0,0.01257149441556098,0,0.01257149441556098,0,0.01257149441556098,0,-0.002732240437158473,0,-0.002732240437158473,,
Other S. & Cent. America,11.084279690463406,4.256484475329311,14.999251276083186,30.340015441875906,11.390422229556172,4.7166094576468005,14.966871066959165,31.073902754162134,0.02481182129655979,0.1050721725459649,-0.004885130472328414,0.02139042875189956,,
Total S. & Cent. America,78.76494008818459,19.088907658564807,83.51413374745606,181.36798149420545,85.41842604930744,22.77557386926196,84.70095455714315,192.89495447571255,0.08150964472523703,0.18987141284461373,0.011439949068611899,0.06064983188400408,,
Austria,7.477363298676548,1.702093,4.745310237660777,13.924766536337327,6.794140174904118,1.5905747289147356,5.253975478670071,13.638690382488925,-0.09385478814681081,-0.0680715470176586,0.10416813485187548,-0.023220521103714753,,
Belgium,9.725600000000036,4.247,5.240900000000019,19.213500000000053,13.030866567255405,5.137378996938575,5.3316592656883754,23.499904829882357,0.3361914027606612,0.20634387621900907,0.014537940171629238,0.21975160380132253,,
Czech Republic,0.7000000000000001,2.2859000000000003,5.030600000000001,8.0165,0.6991,2.2331,5.0917,8.023900000000001,-0.004014441842310701,-0.02576725408820113,0.009380243184932135,-0.0018116664434248975,,
Finland,6.0858585858585865,0.1484848484848485,13.202105263157893,19.436448697501326,8.05050505050505,0.2585858585858586,11.233684210526317,19.542775119617225,0.31920731016030635,0.736738411211479,-0.1514238933140929,0.002723278439573873,,
France,34.615359000000005,11.747336493767708,10.743961691210131,57.10665718497784,40.60381526640806,13.074785996400962,10.595259914008183,64.2738611768172,0.1697950577497771,0.10995905704344056,-0.016534922581355138,0.1224304256968296,,
Germany,125.894,46.392,50.41662869126898,222.70262869126898,130.965,50.6,50.8155898812748,232.38058988127483,0.0374376231682807,0.08772522490687562,0.0051594243257917505,0.0406059039296649,,
Greece,7.266347,4.42851,0.40202699999999997,12.096884,9.305463790496946,4.872224616961554,0.37293288703110067,14.550621294489602,0.277125772556972,0.09718901568341787,-0.07490306691638104,0.1995539924664087,,
Hungary,0.729,1.497,2.242,4.468,0.643,2.371,2.117,5.131,-0.12037974019354303,0.5795069191205724,-0.058333698931964606,0.14525086712554613,,
Italy,20.202,23.6889,25.6375,69.5284,18.702530398322853,25.95316063893654,25.654734016590226,70.31042505384963,-0.07675326262293991,0.09258979369944442,-0.0020618580241617,0.008484591438371991,,
Netherlands,11.507927,5.336055,5.814188000000001,22.658170000000002,15.268444,8.05608303598201,8.682018169638033,32.00654520562004,0.32315115831814967,0.5056201407492975,0.4891669840257662,0.40872345950955014,,
Norway,5.525,0.10679999898147582,0.25300500000000004,5.884804998981476,9.890451281923454,0.13501299726950647,0.25974160118613393,10.285205880379095,0.78523587167226,0.26071264590721954,0.023821365902495506,0.7429811568511602,,
Poland,15.106759,0.710673,7.682984,23.500416,15.726,1.99,7.898000000000001,25.614,0.038146751853607164,1.7925119450577895,0.025177296350912926,0.08696017948970014,,
Portugal,13.667,1.343,3.577,18.587,12.364,1.695,4.034,18.093,-0.0978108890586834,0.25865141657410007,0.12467937994870071,-0.029237339335530632,,
Romania,6.773000000000001,1.778,0.504144,9.055144,6.955,1.703,0.5750692016637325,9.233069201663733,0.02406574158564334,-0.04479921567181144,0.1375677868561016,0.01686314835323044,,
Spain,53.08907023,15.10828678,5.637064809999999,73.83442181999999,53.22096655267732,20.80536099732784,6.494382277384998,80.52070982739016,-0.0002545939151694654,0.3733202215996896,0.14893801682446184,0.08757820415706852,,
Sweden,19.847,0.663,13.036,33.546,28.071377061139014,1.0564285714285713,10.991340175390244,40.11914580795783,0.4105244777349648,0.5890530234792526,-0.15915087516841997,0.19267664268398832,,
Switzerland,0.146,2.178,1.862,4.186,0.16935999947786334,2.6233143884539603,1.9416068009243974,4.734281188856221,0.15683059752638906,0.2011693584951546,0.03990433099347479,0.12788963075756077,,
Turkey,21.730700000000002,9.249799999999999,12.350074537417765,43.33057453741777,24.76162669754399,10.834644607318468,14.223941205118107,49.820212509980564,0.1363633927941177,0.16813787900280142,0.14858237776657424,0.14662896214008603,,
Ukraine,2.0202,2.9328000000000003,0.32918125706060486,5.282181257060605,3.17196542564124,6.185735954588071,0.3578577548793273,9.715559135108638,0.5658344982873154,1.103394379664266,0.08414435450372815,0.8342827366287258,,
United Kingdom,64.33484373611701,12.918070171284258,37.327726872319474,114.58064077972074,75.60982425697497,12.800964761521431,39.408169780528034,127.81895879902444,0.17204357170705187,-0.011772712278414366,0.052849998606336435,0.1124892111243867,,
Other Europe,1.6523944343434342,0.3071800439362955,0.204226216,2.16380069427973,1.7293624901698779,0.3760084555354711,0.253205191894337,2.358576137599686,0.04372020396510323,0.22072093363691625,0.23643956870916516,0.08703724271859503,,
Total Europe,460.02981280932903,152.7537127227192,227.1704194276512,839.9539449596994,510.1380710077727,178.85388570097223,232.01638336052042,921.0083400692654,0.1058940898521572,0.1676653267727004,0.018541319766809616,0.09350272041836383,,
Azerbaijan,0.10540000000000001,0.0442,0.09795000000000001,0.24755,0.09509999999999999,0.047200000000000006,0.09821835616,0.24051835616,-0.10018819796559575,0.06495561654674487,-4.463074354532637E-11,-0.031059575110398807,,
Belarus,0.166,0.179,0.11,0.45499999999999996,0.18388397793471814,0.1817432949533686,0.11206378987058996,0.4776910627586767,0.10470820900276712,0.012551556277735187,0.015978224112402684,0.04700196905612808,,
Kazakhstan,0.7071334,0.3912209,0.0051146,1.1034689,1.1354321649832346,2.5720424762153997,0.0054196,3.7128942411986348,0.6012960090817616,5.556436626355583,0.05673803420145762,2.3555542176258335,,
Russian Federation,0.31481000000000003,0.98505,0.521152,1.821012,1.13802,1.8621400000000001,0.513382,3.513542,2.605065454520837,0.8852364710343128,-0.017600782612576027,0.924173019436415,,
Turkmenistan,0,0.00696,0,0.00696,0,0.00696,0,0.00696,0,-0.002732240437158473,0,-0.002732240437158473,,
Uzbekistan,0,0.0155,0,0.0155,0,0.0155,0,0.0155,0,-0.002732240437158473,0,-0.002732240437158473,,
Other CIS,0.0463,0.07144375,0.031,0.14874375,0.04615247809292006,0.06875145673531781,0.031,0.14590393482823788,-0.005909753218153124,-0.04031337625597731,-0.002732240437158473,-0.021772073128722202,,
Total CIS,1.3396434000000002,1.69337465,0.7652165999999999,3.7982346499999995,2.5985886210108733,4.754337227904086,0.7600837460305899,8.11300959494555,0.934461553052855,1.7999398924969845,-0.009421627178424652,1.1301587836505007,,
Iran,0.6273104049442262,0.2843227245645523,0.024440000000000003,0.9360731295087785,0.6293447007360022,0.3206494335042574,0.024440000000000003,0.9744341342402596,0.0005017846811288251,0.12468443261306783,-0.002732240437158473,0.03813656781847352,,
Iraq,0,0.376545,0,0.376545,0,0.376545,0,0.376545,0,-0.002732240437158473,0,-0.002732240437158473,,
Israel,0.0067,3.1145,0.1775,3.2987,0.0067,5.489118780096308,0.1775,5.6733187800963085,-0.002732240437158473,0.7576243980738362,-0.002732240437158473,0.7151659469222538,,
Kuwait,0.01752,0.15321601535940169,0,0.1707360153594017,0.01752,0.15321601535940169,0,0.1707360153594017,-0.002732240437158473,-0.002732240437158473,0,-0.002732240437158473,,
Oman,0,0.016555304777622227,0,0.016555304777622227,0,0.20606199229904668,0,0.20606199229904668,0,11.41287817720507,0,11.41287817720507,,
Qatar,0,0.008364000000000002,0.114844,0.123208,0,0.008364000000000002,0.114844,0.123208,0,-0.002732240437158473,-0.002732240437158473,-0.002732240437158473,,
Saudi Arabia,0,1.0379558671159743,0,1.0379558671159743,0,1.0379558671159743,0,1.0379558671159743,0,-0.002732240437158473,0,-0.002732240437158473,,
United Arab Emirates,0,4.168878664832559,0.006,4.174878664832559,0,5.553120875381212,0.006,5.559120875381212,0,0.32840239767340296,-0.002732240437158473,0.32792650172811477,,
Other Middle East,0.900551,2.719166031595707,0.0105,3.630217031595707,1.2506145789126157,3.2212022915080896,0.0105,4.482316870420705,0.3849272269852688,0.18139207206328933,-0.002732240437158473,0.23135065041836067,,
