Terawatt-hours,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,iii,jjj
Trinidad & Tobago,0,0,0,0,0,0,0.035,0.035,0.029,0.025,0.023,0.019,0.023,0.029,0.029,0.026000000000000002,0.019,0.018000000000000002,0.016,0.013000000000000001,0.017,0.026000000000000002,0.031,0.027,0.026000000000000002,0.031,0.025,0.03,0.028,0.032,0.033,0.017,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.02,0.029,0.026000000000000002,0.012,0.023,0.022,0.026000000000000002,0.019,0.02,0.019,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,,
Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Central America,0,0,0,0,0,0,0.10700000000000001,0.14100000000000001,0.11700000000000002,0.15600000000000003,0.338,0.7240000000000001,0.6990000000000001,0.752,0.6420000000000001,0.6821052631578949,1.1091052631578948,1.1981052631578948,1.0261052631578949,1.2371052631578947,0.93699,0.8607500000000001,0.9105160000000001,0.883962,1.171867,1.2207556315789474,1.3350639157894737,1.8216531736842105,1.7220100210526317,1.6930572210526318,1.750838894736842,1.739425295487905,1.8508323641578948,1.6143209296842105,2.413701431368421,2.8056178616947367,3.0532751956000004,3.3263330667368423,3.5462367760000006,3.7201745449999994,3.9959830601111115,4.295154444444445,4.755688465888889,4.918837549666666,5.294476896333333,6.028337938167535,6.009490937042288,6.87883171381685,7.354523798932814,7.84912665141928,8.04780318953134,8.760405662758812,8.790906988281488,9.599823169977043,10.636478956407082,10.574625072830365,-0.008531611088632984,0.07225352531496543,0.015105125847411353,,
Other Caribbean,0,0,0,0,0,0,0.97,0.831,0.978,0.984,1.012,1.103,1.193,1.339,1.2890000000000001,1.292,1.308,1.4060000000000001,1.515,1.2890000000000001,1.209,1.2660000000000002,1.304,1.422,1.389,1.6038421052631582,1.367842105263158,1.47,1.064,1.131,0.9510000000000001,1.2221710947368423,1.179,1.040475684,1.2171200650526317,1.3355064219974262,1.2689288609131557,1.1830122249192796,0.965124540110933,1.0528671531117966,0.7585474566243591,0.756636889042734,0.8022278097019231,0.8870072942910365,0.9016387546255599,0.7714360845948678,0.8265200944400571,0.9754926302069309,1.118001110226671,0.9426999306740036,1.019018476191425,1.003786301303803,1.0666071385217468,0.9990320824186397,1.2427164252859162,1.262629510671684,0.013247815547117403,0.03260434182660532,0.0018035795620171726,,
Other South America,0,0,0,0,0,0,0.056,0.059000000000000004,0.061000000000000006,0.066,0.063,0.072,0.074,0.056,0.07900000000000001,0.08400000000000002,0.089,0.091,0.075,0.08,0.095,0.097,0.11,0.10700000000000001,0.095,0.111,0.11189473684210527,0.12384210526315789,0.13357894736842105,0.11984210526315789,0.12163157894736841,0.11957894736842106,0.11578947368421053,0.12878947368421054,0.13478947368421051,0.10423608277235469,0.10655623519982735,0.1203656854819794,0.11811906430725094,0.11165979835057613,0.10449494835669995,0.12278667493066939,0.23176463480847914,0.9906393726468871,1.06883397947191,1.2305647088955138,1.277832986262714,1.477097893877648,1.6830976512284153,2.2714299956945214,2.799081042859996,3.5534017582099544,3.394668537337675,3.3831240368562914,3.1200558943901875,3.129616483457116,0.00032362380425454695,0.11307700869987403,0.004470442262602103,,
Total S. & Cent. America,0,0,0,0,0,0.5622324912536445,2.144259863702624,2.130923339427438,2.2658428094023324,2.378219471428572,2.864100216509433,3.352540516545189,3.673700570316712,4.074080737087913,4.372413163392857,4.392865093602146,4.871450638157894,5.506492203595682,6.340874997211051,6.1661769424697415,6.059437202877947,6.250761344674768,6.704370138033188,6.637861841445375,6.9444062464060625,8.305423520572266,8.374013724707407,10.69272151139807,10.286964404423273,10.832413012687262,11.063803419940655,12.573282457878696,13.368204886054807,12.589700302536057,14.856068393921126,14.824737676569047,16.399493141966794,18.190106579769566,19.936023238775128,20.937292861560234,22.28989392740966,24.05792912171971,29.286722841739,33.062173004753376,36.96006683476185,47.41699043596709,49.57910476953719,55.97450004261954,63.08304655621578,68.85373182367128,72.82826293051947,76.37751877273851,78.89079590416097,80.9603689913369,83.51413374745607,84.70095455714316,0.011439949068611899,0.08493251064770946,0.12098949789423344,,
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.287501,0.9058160000000001,1.0469600000000001,1.1044500000000002,1.142485,1.225832,1.3291639999998917,1.3611110000000033,1.210555,1.857221,1.589444,1.7113889999999998,1.842777,1.5969118188815172,1.52827932,1.6678119999999996,1.520444,1.711921,2.05973,2.43715433867822,3.237502556354236,4.06160691149705,4.302304141024989,4.277982167399921,4.463430080982535,4.516752009162906,4.6080365007055795,4.584281708790816,4.336296195713486,4.503546527065904,4.691227038860749,4.920933436,4.930195780665111,4.745310237660777,5.253975478670071,0.10416813485187548,0.010421466094153509,0.007504943225687622,,
Belgium,0,0,0,0,0,0,0,0,0.116,0.108,0.083,0.057,0.247,0.26,0.315,0.3,0.291,0.046,0.022,0.024,0.053,0.11900000000000001,0.14200000000000002,0.18,0.191,0.28200000000000003,0.299,0.267,0.245,0.245,0.321,0.314,0.275,0.359,0.496,0.5680000000000001,0.597,0.721,0.857,1.037,1.59,2.225,2.6,3.329,3.9490000000000003,4.330428,4.699934000000001,5.202092999999999,4.98362,4.4732,5.563700000000007,5.449900000000007,5.777000000000021,5.470800000000019,5.240900000000019,5.3316592656883754,0.014537940171629238,0.028707423687331257,0.007615909181561546,,
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,0.008,0.035,0.056,0.066,0.11171299999999999,0.200792,0.270185,0.35361400000000004,0.395981,1.5920999999999998,1.8311,1.9641359786468595,0.06972283703889604,0.7217187439856394,0.0028056333850660395,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.006,0.019,0.006,0.005,0.01,0.002,0.005,0.002,0.001,0,0,0,0.004,0.014,0.011,0.007,0.021,0.025,0.033,0.055,0.094,0.125,0.165,0.266,0.431,0.5256000000000001,0.6700999999999999,0.9702999999999999,1.0685817985433044,0.09828112557241364,0.44177205058568303,0.001526395728839729,,
