Petajoules,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,jj,kk
Total Middle East,0,0,0,0,0,0,0,0,0,0,0,0,0.5746599815972045,0.5959436846193233,0.6172273876414419,0.6597947936856793,0.36182295137601767,0.31925554533178035,0.340539248353899,0.36182295137601767,0.4062318234057288,0.4800941478625988,0.45602525946300565,0.3410406923971001,0.36284989004683493,0.3962467869699321,0.3550017373944589,0.33108779435286684,0.2259880174815238,0.22988995875656887,0.16956726197721958,-0.2644134421447618,-0.044342243514388424,4.508537506770849e-05,,
Total Africa,0,0,0,0,0,0,0,0,0,0,0,0,1.767228429332559,1.9487571324082096,2.2923186665912496,0.87437708755468,0.26027840425748944,2.8214315237211194,2.115923153839082,1.1980961983986933,0.7053397239257542,1.8704598305528803,2.130517761989844,2.1457006780349195,1.7700820692054162,2.186902109190589,1.9363252556160324,1.9654224232400417,3.086662241727881,2.7976558736351813,2.779156727504597,-0.009326547545953079,0.08850457889349772,0.0007389358179783746,,
Australia,0,0,0,0,0,0,0,0,0,0,2.2393222460661732,2.715821789325367,2.7432564825208776,2.554044362654243,1.915533271990682,2.128370302211869,3.2911313928754296,4.7195554533178035,6.102942154472371,5.656777493115109,7.980949659318,9.582743904446867,9.262998706905687,11.245964572852134,12.93037455444934,9.460444948675185,8.223621997299169,7.305380530812555,6.045585737126878,5.6213239399838555,5.770501414465886,0.023733034886284976,-0.000628519388656934,0.001534289211055897,,
China,0,0,0,0,0,0,0,0,0,0,0,0,6.119716723805711,16.890418157703763,21.301043489821243,29.92006853782863,43.25674722101054,46.7139484116041,59.79666699053192,71.12793156718297,70.79269771885708,78.35008704348404,91.72943012928361,112.03848603096525,131.90559428882597,97.75590089883575,99.47843641055566,92.78354212071741,120.51023311175197,136.12619214279746,125.4087434263422,-0.08124884257994835,0.0670632223714378,0.0333442916292784,,
India,0,0,0,0,0,0,0,0,0,0,0,0,30.78742979777326,28.674383761737317,31.24168787137433,30.045373491907093,31.91565761127275,35.693004088826285,37.30684087047843,31.819890161819554,39.54144076837069,45.01000178653641,43.489472187851156,43.37538607595632,48.90465569043016,51.925777249029714,62.32692244681214,54.8514204142186,73.49017034329725,84.68456605692103,87.59806079589156,0.0315778411528953,0.10283504681399003,0.02329100193124119,,
Indonesia,0,0,0,0,0,0,0,0,0,0,0,0,2.4228303335228807,2.883324532109441,2.8916890273971334,3.685962319772415,3.279582503382466,4.283830164103264,4.247575102056831,7.724561393905672,10.706757966310269,14.907033528920547,25.344543190730253,36.95646833880131,62.999763597340994,33.44971677547049,101.95613010768476,87.6076076678528,126.16881491310959,213.4303495954338,219.398493935725,0.02515431808777402,0.39360031121816497,0.05833474736244441,,
South Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230274,0.5610312000000001,2.2315644,4.006767600000001,7.4357568,10.6428456,14.938502400000003,14.071834800000001,15.0682932,22.9562244,18.9955116,18.6480072,18.5433372,17.923690800000003,28.604217600000002,29.295039600000003,29.102446800000003,-0.00928852412157899,0.10655659979744003,0.007737901255622713,,
Thailand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134,3.8891729581589463,7.189625270237009,5.9367541487307784,21.982803803402774,29.58723642025064,30.778364412942388,30.52726257628968,39.989305770152825,54.01962141422525,63.20322787503409,67.75713848923286,69.18914813406903,76.50422845692248,83.69037075082883,93.44206044257328,93.48001878137921,-0.002327127072594193,0.12187326968235546,0.024854925761914594,,
Other Asia Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0.15191182935871383,1.1885660529760431,1.0741795725813452,0.8323336401209047,1.2259094600350884,7.2521460429198426,6.651308285156107,11.677323521891616,18.41475255913377,23.01052298472956,29.40211754542885,36.35212645268132,42.075722940099936,49.59550203271508,53.310986077380136,55.158583447929374,58.55435992522508,60.29501494622469,53.843029272911046,-0.10944682211353185,0.17840291856569657,0.014316048636068252,,
Total Asia Pacific,0,0,0,0,0,0,0,0,0,0,2.2393222460661732,2.715821789325367,42.22514516698144,52.19073686718081,58.78840723316475,71.06231244999988,92.39021785881327,108.60600590950207,143.52389400609843,168.23656615816557,193.15346548493216,215.4594866244072,254.28616073035238,316.9442772854817,381.0148505461806,328.59248759395905,413.02858237380093,392.1344534384532,497.0637523813396,622.8945467239341,614.601294426715,-0.01600991830644738,0.139854487454395,0.16341320578762547,,
Total World,363.3681456978665,383.94225876867836,376.7722642690239,392.8860826936545,424.49828061280755,446.726433160949,429.106679224349,446.62827283284,455.34642614663613,461.94777093035816,454.0944876858287,440.66604812393285,547.5277363337067,618.4656154856665,729.8125081324835,866.2930001164176,1073.108758439597,1408.9747556616753,1899.639197775942,2160.16232463762,2484.4697991927123,2609.6875666361198,2701.965264182661,2896.063433620022,3086.6451036454814,3212.1534139518444,3348.9557399145715,3434.538388890971,3702.1222843840396,3957.0774473614483,3761.0258697541317,-0.05214141176626086,0.062401845165786174,1,,
