Petajoules,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,jj,kk
Total Middle East,0,0,0,0,0,0,0,0,0,0,0,0,0.3204657430707289,0.3566506895192162,0.2931844270499803,0,0,0,0,0.48948411641414136,0.46820209090909093,0.5107661419191919,0.5548461660606061,0.5958942439393939,0.638458294949495,0.6810211108585859,0.6402074957575757,0.638458294949495,0.638458294949495,0.638458294949495,0.6402074957575757,0,0.02692657559552525,0.00017050322478364262,,
Total Africa,0.24702020202020203,0.24702020202020203,0.24769696969696972,0.24702020202020203,0.24702020202020203,0.24702020202020203,0.24769696969696972,0.37053030303030304,0.37053030303030304,0.24702020202020203,0.24769696969696972,0.24702020202020203,1.1545115165739572,1.192618607651105,1.3155538843635277,1.5119731373133671,1.6142159360972246,1.6349877439394462,1.8983732604486323,11.322111823272413,3.9997428173559695,4.493297853825261,4.567459805144984,4.657232136484172,5.2431761117087285,6.4587500763497925,6.658272826891925,5.394103208076196,6.095115753689452,6.118983607937667,6.135747946589552,0,-0.059681057429318285,0.001634102721829546,,
Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,1.927163106,1.1585124932011317,1.152215382306082,2.131411254612164,4.173585229671287,6.765708013210184,9.702453181113473,7.566414809913473,9.153783170590735,9.696237593601598,10.2452108096016,10.763813060317894,9.505207902008841,5.264152643631789,4.447922720880884,5.412720539280884,6.254875506112673,5.988458542914464,-0.04520935252972769,-0.0429520189218463,0.0015948758797986746,,
China,0,0,0,0,0,0,0,0,0,0,0,0.191018387553041,6.366523438058092,17.482432528967184,21.475244747719817,30.124884927815412,44.03212309242241,48.54332457086763,60.23181220558571,65.83111979548912,63.98856056752565,79.63035376579262,85.25915611039501,94.89894505642452,105.40277982536763,89.75676664063727,86.32334126150096,104.56862257778876,100.85110906635606,122.10660000000001,142.02704204472843,0.15996178762887348,0.06372848618306448,0.03782534386988492,,
India,0,0,0,0,0,0,0,0,0,0,3.5916060606060602,3.70530303030303,3.9523232323232325,4.075833333333334,0.7981388633294508,3.2965091655413197,2.9747888173224624,3.988229513760177,6.141972043306156,4.7035617754814085,7.627187583150839,11.109465146723416,10.628426139942171,10.09164022233179,11.002146110225482,21.66851932818773,26.43137546308491,24.163787888323288,40.835285147067495,48.009939480379614,44.22712510274217,-0.08130927802684984,0.26150922471551796,0.011778786569819536,,
Indonesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,1.85,9.09179552,18.52679552,6.296792233380234,8.062675493501343,59.70940577818649,73.15116394032451,92.37467604118883,130.76723581796597,53.34677959925537,120.34445246705477,112.44437900094614,203.03188807899178,276.46965434102657,283.0433213939721,0.020979968519838188,0.4596637093539375,0.07538149642255912,,
South Korea,0,0,0,0,0,0,0,0,0,0,0,0,0.0382036775106082,0.06073181477071007,0.1942101393751704,0.4794686254472427,1.9086906663846197,3.4794886072292184,6.461239669120817,9.245455977386927,12.978471108932682,10.445542970834378,15.0682932,15.452683308,16.232181732,18.47823246,18.541620612000003,17.921723004,28.605625784962562,29.295595226334267,27.939057143005364,-0.04891091285092142,0.12224427645147662,0.007440867799680881,,
Thailand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12384848484848486,2.246194762333376,3.481295772434387,5.997523680939523,21.726180956036302,26.77677980096296,34.917912,38.476692,52.711812,67.365612,75.32053200000001,81.26578800000001,70.421976,82.73116800000001,88.467084,101.40429600000002,98.05485600000002,-0.03567254628564209,0.1424305304168314,0.02611445393014656,,
Other Asia Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00041868000000000005,0.0041868,0.041186799999999996,5.138030446280342,9.53809817355646,16.306285005420897,18.662001163476376,17.055857052536602,35.57731633775226,48.03077060338959,62.680420735059535,77.10901364416247,81.01067449089011,75.33594168832391,72.57532392873999,82.9764425076067,100.04886209739699,92.03572749242134,-0.08260562057415699,0.18283834279939448,0.024511409873758418,,
Total Asia Pacific,0,0,0,0,0,0,0,0,0,0,3.5916060606060602,3.896321417856071,10.357050347891933,23.546579463071225,23.754141528474054,37.71045966344342,61.51634004945639,84.8120452960243,136.15999341268008,141.2181639272905,152.1970786155606,244.10255916987987,294.5458595876528,353.1091881726062,426.5977021900395,355.03196842097935,402.66286013559636,418.8529271206791,550.1801551242654,683.5898226512501,693.3155877197837,0.01145637328782878,0.17082099829967734,0.18464723434564806,,
Total World,297.67232255846426,335.65531866245624,323.5089698138781,330.48326341735947,367.3060940296182,381.42555570867904,383.9824408393346,441.7347212101713,422.30747764357045,408.9844476201755,392.38129140374184,428.86944125987657,506.2444214980818,627.5183938971591,710.7123841964626,836.2616357045672,1067.8434094219144,1451.145004341073,1969.1159175871562,2183.4288422550935,2513.263782544535,2669.9577961102577,2722.274844473561,2959.322239297741,3223.112244864013,3224.497204504242,3339.990755744421,3488.4183659565597,3844.3298859711763,3997.7974880900097,3754.811655732359,-0.06334610028442111,0.062351351642514485,1,,
