Terawatt-hours,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,iii,jjj
Venezuela,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00126,0,0,0,0,0,0,0,0,,
Central America,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022590363,0.07571247,0.06420843131,0.09965608566999999,0.1749790818,0.1794242027,0.2543143672,0.2302238435,0.2554340283,0.2023131143,0.2721626218,0.2403966951,0.1980772051,0.42138656220000004,0.5218727958,0.74175713177,1.12925645,1.3489790202299998,2.09395367073,3.135330651389633,3.29947169781621,3.209574677941379,4.435549853769485,4.40017598863802,3.6265850466363654,-0.17806097900129325,0.2643838398746843,0.002279131630536679,,
Other Caribbean,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017171717171717172,0.007777777777777778,0.007777777777777778,0.007365622222222223,0.008021527979797981,0.00912294888888889,0.011434834646464647,0.039549713939393945,0.04807782262626264,0.06091937121212122,0.0646916103030303,0.09531646363636365,0.10666036121212122,0.12277725575757575,0.12855733334024746,0.13896950508602943,0.19326407123087636,0.2815776049059449,0.35027307854259004,0.6688853733011928,1.0074735708313427,1.0600487053039132,1.1451631403137652,1.1635691760503692,1.3202364784757679,1.4114033126624412,1.8544127016308356,2.255842597735151,0.21314909641813173,0.2537343558862397,0.0014176869291342813,,
Other South America,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001028,0.001028,0.001028,0.001028,0.001028,0.001028,0.001028,0.0048779999046325686,0.012512000095367432,0.04731900009536743,0.07523699985504151,0.11755699990081787,0.11930299998855591,0.15063700011825565,0.7473435130839234,2.0833899999313354,3.036931444026703,3.84167725593515,4.7981217331945505,4.82969100019455,5.507994585184654,0.137328541190336,0.5881385166486874,0.0034615056640026516,,
Total S. & Cent. America,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017171717171717172,0.007777777777777778,0.007777777777777778,0.04197398522222222,0.102925997979798,0.1113723801988889,0.14847192031646464,0.25211479573939394,0.32099102532626267,0.4588667384121212,0.44309745380303034,0.5434144919363636,0.5323011405121212,0.7737892703475756,1.161459974647495,1.6704335559913965,2.0779276128222435,3.449127766670986,4.324359014793407,7.804147351952749,10.196910547083306,18.58168150222464,31.460386821823096,45.17700349139687,56.1317767046775,65.75898694486519,78.76494008818459,85.41842604930743,0.08150964472523681,0.4383687972305297,0.0536813101405685,,
Austria,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.005,0.02,0.045,0.051,0.067,0.172,0.20300000000000004,0.366,0.924,1.3312767567447965,1.7527929836760736,2.0371849274937417,2.0112574086827792,1.9540401681317443,2.0639137360418474,1.9362363601421615,2.4620290190466725,3.153231562469477,3.8457680345196685,4.840343101748367,5.234838273,6.571511136,6.0304294490000006,7.477363298676548,6.794140174904118,-0.09385478814681081,0.14361936185204627,0.004269785369927,,
Belgium,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0.006,0.008,0.007,0.007,0.008,0.009000000000000001,0.008,0.009000000000000001,0.009000000000000001,0.008,0.008,0.011,0.013000000000000001,0.016,0.037,0.057,0.088,0.14200000000000002,0.227,0.366,0.491,0.637,0.996,1.292,2.312,2.751,3.665,4.6153,5.574,5.437700000000019,6.513700000000022,7.464700000000027,9.725600000000036,13.030866567255405,0.3361914027606612,0.25593078691183013,0.008189263393748453,,
Bulgaria,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.005,0.02,0.04700000000000001,0.122,0.237,0.681,0.861,1.221,1.374,1.331,1.452,1.425,1.504064,1.3181230000000002,1.317,1.4772398804058307,0.11860569921731412,0.18709026342609958,0.0009283731372702421,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.01,0.019,0.035,0.04,0.054,0.139,0.201,0.329,0.517,0.73,0.796,1.014,1.204,1.3354000000000001,1.4673,1.7322915735546862,0.17737240950621636,0.3912735086469561,0.0010886606732861534,,
Cyprus,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00035500000000000006,0.00035500000000000006,0.00035500000000000006,0.00035600000000000003,0.00035600000000000003,0.00035600000000000003,0.031,0.114,0.185,0.231,0.1839,0.221857,0.22670099999999999,0.21145,0.22061000000000003,0.238565,0.239983,0.0031953922124761114,0.9169715744324367,0.00015081759811434153,,
