Thousand million barrels,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,tt,uu
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,0,,0.0020203580800469737,,
Sudan,0,0.2,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2621,0.2621,0.2621,0.2621,0.5629999999999998,0.5629999999999998,0.5629999999999998,0.5629999999999998,0.5629999999999998,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,1.4999999999999998,1.4999999999999998,1.4999999999999998,1.4999999999999998,1.4999999999999998,1.4999999999999998,1.4999999999999998,1.4999999999999998,1.4999999999999998,0,-0.11343184943478668,0.0008658677485915601,,
Tunisia,2.1805930000000004,2.4913999999999996,2.4517,2.51544,1.815,1.7800000000000002,1.7526,1.7249999999999999,1.79,1.8,1.7386,0.40049999999999997,0.4675,0.3691,0.338,0.37700000000000006,0.34,0.31389999999999996,0.2899999999999999,0.308,0.42519999999999997,0.526,0.5010000000000001,0.6498999999999999,0.6807,0.56,0.596,0.601,0.577,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0,0,0.0002453291954342754,,
Other Africa,0.55811,0.575539,0.650245,0.710074,0.98255,1.0063833333333334,0.9817566666666665,0.9545800000000001,0.9562533333333334,0.9079266666666665,0.8887099999999999,0.8118823333333334,0.7581806666666666,0.6344730000000001,0.581646,0.6652280000000002,0.6707380000000001,0.693486,0.6994859999999999,0.698424,0.6783200000000001,0.614638,0.569438,0.5544380000000001,0.563138,0.5459970000000001,0.6545259999999999,0.6590739999999999,0.65829,0.62149,2.266122,2.176022,3.673112,3.6734120000000003,3.749648666666667,3.9989753333333335,3.951572,3.8859709875965285,3.8073700836651985,3.7388839223337373,3.8229500820879543,0.022484292505594583,0.19654981432385665,0.0022067794537036114,,
Total Africa,53.436518,56.281772,58.27078,58.038757999999994,57.76658099999999,57.037383333333345,57.966056666666674,58.66358,58.99675333333333,59.08652666666666,58.72581000000001,60.37198233333334,61.079080666666684,61.233073000000005,65.008346,71.952928,74.93223800000001,75.258786,77.172286,84.719524,92.90443300000001,96.60755100000002,101.601438,106.52433800000003,107.902838,111.748997,117.579526,120.038074,120.75129,122.97349000000001,124.948122,124.622022,127.36911200000002,127.521412,126.75664866666666,127.62797533333332,127.881572,126.61797098759652,125.7063700836652,125.02788392233374,125.11195008208797,0.0006723792894587355,0.0016581712597905085,0.07222026835965145,,
Australia,2.122811126049375,2.618448212664755,2.9310518066341,2.4907650545645996,2.5599529727469497,2.45931600084535,2.87444350993945,2.9058925636587,3.18893404713195,3.10087669671805,3.1574849934127003,3.2266729115950503,3.2203831008512003,3.2581219653142997,3.8179151215169504,3.7990456892854,3.8179151215169496,4.0380584975517,4.773966354582151,4.7425173008629,4.9437912446661,4.9563708661538,4.57269241077895,3.7494379519486554,3.8892604447844414,3.71834112763106,3.514519810476602,3.4289595149280103,4.239200355329279,4.061399985222128,3.831079695403828,3.8729446757148938,3.9219674606524606,3.9574986015444695,2.3903420957597694,2.3903420957597694,2.3903420957597694,2.3903420957597694,2.3903420957597694,2.3903420957597694,2.3903420957597694,0,-0.051628641077893334,0.001379813419212762,,
Brunei,1.294,1.4999999999999998,1.44525,1.527,1.47027,1.443,1.475,1.6000000000000003,1.2000000000000002,1.1517,1.124,1.1500000000000001,1.13,1.25,1.188,1.124,1.09,1.06,1.0199999999999998,1.3,1.2299999999999998,1.16,1.1,1.0499999999999998,1.1202999999999999,1.105,1.2000000000000002,1.078,1.078,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0,0,0.0006349696823004776,,
China,13.3526212,13.290462799999998,13.2588705,14.880852900000002,16.364591500000003,17.087696,17.1612892,17.4234833,17.2836269,16.058490700000004,16.019715,15.513212000000001,15.193110899999999,16.435325999999996,16.25794,16.3550625,16.444488500000002,17.021506100000003,17.4228236,15.1119,15.1903,15.411500000000002,15.508700000000001,15.4757,18.25887607,18.249655663,20.220299775,20.762501341000004,21.186851899999997,21.61762134,23.26800749,23.74684707,24.427835589,24.682514973,25.1664555,25.62646431,25.66381799,25.9482,26.19009,25.96275738,25.96275738,0,0.01848418800733409,0.014986876186566344,,
India,2.7569589,3.4824,3.5046999999999997,3.6199999999999997,3.76,3.7613103,4.635,4.4156,4.4635,4.3454,5.5631639999999996,6.1256,5.91,5.86,5.8073,5.5097763,5.4869604,5.625437100000001,5.394266099999999,4.9722096,5.2899003,5.513466,5.5763415,5.7311583,5.5652724000000005,5.9188811999999995,5.69268,5.45925,5.798100000000001,5.8228737,5.8331898,5.7035232,5.7197127,5.711030610000001,5.74340961,4.786068,4.678238400000001,4.548865470000001,4.4765774700000005,4.660614314166137,4.543292180978889,-0.025173104933966073,-0.022018635296810696,0.0026225934479585534,,
Indonesia,11.603,11.018,10.534000000000002,10.080000000000002,9.611,9.18,9,9,9,5.114,5.415,5.909,5.598,5.167,4.98,4.98,4.73,4.87,5.1,5.2,5.12,5.1,4.72,4.73,4.3,4.19,4.37,3.98874,3.7475000000000005,4.303,4.23,3.74133,3.74133,3.6925,3.6245,3.60253,3.3069,3.1709,3.1542999999999997,2.4839700000000002,2.44,-0.017701502031023053,-0.05346320729896881,0.0014084782043756047,,
Malaysia,1.4502510000000002,1.4389649999999998,1.6113899999999999,1.8509039999999997,1.9223819999999998,1.895421,1.8220619999999998,1.8320940000000001,1.914858,1.8452610000000003,1.9092149999999999,3.519978,3.834105,2.6961,2.578224,2.508,2.4139500000000003,2.43276,2.1443399999999997,2.1255300000000004,2.1255300000000004,2.65221,2.85285,3.0284100000000005,3.3230999999999993,3.2942579999999992,2.7061319999999998,3.4221660000000007,3.459159,3.634,3.5719999999999996,3.739,3.688,3.8,3.5999999999999996,3.018,2.8356000000000003,2.7318000000000002,2.7318000000000002,2.7318000000000002,2.7318000000000002,0,-0.028133980204212206,0.0015769183437349496,,
Thailand,0.00041900000000000005,0.015209499999999999,0.03,0.03,0.058,0.109,0.104,0.104,0.104,0.23070000000000002,0.2613999999999999,0.22,0.17859999999999995,0.21810000000000002,0.23079999999999998,0.29519999999999996,0.24120000000000003,0.29629999999999995,0.3883000000000001,0.35846999999999996,0.515,0.5840000000000001,0.6919999999999998,0.5,0.5273000000000001,0.453,0.461,0.461,0.454,0.43500000000000005,0.442,0.45327,0.44882,0.4618,0.40483,0.39636000000000005,0.34939,0.3225,0.29259999999999997,0.25275000000000003,0.25275000000000003,0,-0.05284688757565292,0.0001458987156376779,,
Vietnam,0,0,0,0,0,0,0,0.0219,0.0511,0.1095,0.20075,0.23999999999999996,0.3499999999999999,0.5962000000000002,0.6387,0.7643500000000001,0.89,1.2464000000000002,1.9000000000000001,1.8,1.95,2.2,2.8120000000000003,2.96,3.0840000000000005,3.119207468,3.25,3.41,4.73,4.499999999999999,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,0,-0.0022447623294677976,0.0025398787292019104,,
Other Asia Pacific,0.99311,1.0880599999999998,1.08362,1.1097920000000001,1.1002579999999997,1.1700000000000002,0.6788000000000001,0.6705,0.9756999999999998,0.9454999999999999,1.0052,0.9132679999999997,0.8667799999999998,1.089473,1.0827829999999998,1.072814,1.331409,1.196955,1.339858,1.4171070000000001,1.3076120000000002,1.2469996666666667,1.11395,1.4288398900000001,1.4512944334330768,1.4155132770851404,1.3907910930851406,1.2680459330851406,1.2594644837958786,1.122902140823977,1.1074424463382158,1.0957253322267788,1.0746144263466397,1.295926805047303,1.234139511134334,1.2552914127166912,1.185388826989888,1.1736568163868095,1.1704933906536104,1.366695472148207,1.3377792917690434,-0.021157734819822305,0.019842213914447848,0.0007722266289843158,,
Total Asia Pacific,33.57317122604938,34.45154551266476,34.39888230663411,35.5893139545646,36.84645447274694,37.10574330084534,37.75059470993944,37.9734698636587,38.18171894713195,32.90142839671805,34.6559289934127,36.817730911595056,36.2809790008512,36.5703209653143,36.58166212151694,36.4082484892854,36.445923021516954,37.787416697551706,39.48355405458215,37.0277339008629,37.672133544666096,38.82454653282047,38.94853391077895,38.65354614194866,41.519403348217516,41.4638567357162,42.80542267856174,43.27866278901315,45.952275739125156,46.59679716604611,47.78371943174205,47.85264027794167,48.52228017599909,49.10127098959177,47.6636767168941,46.57505581847647,45.90967731274965,45.786264382146584,45.906202956413395,45.34892926207411,45.15872094850769,-0.0041943286569610105,-0.002710843278803332,0.02606765335797259,,
Total World,682.6209854146093,691.141517042753,722.237089336469,734.139197041989,746.3617371251211,774.2558516654128,879.586139961747,911.1058324577067,999.490862891153,1000.1746964625406,1000.9058329848999,1072.8501421379565,1076.8570261812474,1076.3453260531428,1090.1580871891447,1098.7044868644998,1121.2540171414967,1149.183009649525,1157.6273126660656,1280.2638801609762,1300.9240758054448,1307.2038048080642,1357.0768103798237,1358.3118721470396,1365.2689870956451,1372.493974966718,1383.2656963682073,1418.3255828953709,1488.895257446836,1530.2887875204624,1636.8866640431672,1674.259660748456,1683.5667264094118,1691.894854854565,1694.437495537642,1683.9030182333377,1690.2813796538571,1728.1713079328013,1736.144019872424,1734.8105370071285,1732.3661753656183,-0.0014090078365139869,0.012623182093880025,1,,
