Billion cubic metres,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,z,aa
Qatar,14.474260111708862,17.473122127531646,19.078671463,19.42582392449165,24.82853069569281,28.48786414991859,33.465054532599986,39.6496798042235,41.058072681607044,51.75422126156588,77.82501180106242,100.71023128684195,104.01007913563456,105.82038552002278,103.60700252007207,105.61902241235845,107.30228151670988,103.57555427856559,104.94612390813464,105.8149452948913,106.08459354739111,-0.00019090274718380762,0.07413810480461835,0.21742560787430967,,
United Arab Emirates,7.513580781215547,7.699464143396884,7.406485511238415,7.696540335293545,8.201528780367541,7.39723171527,7.893972646067407,8.333973027694215,8.327170942793934,7.811638457151207,8.747351497220842,8.257700986948095,8.066307373946572,7.9457448980641034,8.574422412034197,7.638987847895426,7.683783662414442,7.288759584145428,7.4122882022007754,7.6600856135415025,7.607437457156877,-0.009586512257566349,-0.0019572392148269335,0.015591818360968816,,
Yemen,0,0,0,0,0,0,0,0,0,0.43313591308636357,5.477478973778068,8.796826835882086,7.077401604073397,9.917063555972506,9.38047127648419,1.948376176768507,0,0,0,0,0,,-1,0,,
Total Middle East,24.572846170393543,32.919991553027295,35.24073226859644,36.35539138072547,42.46367428357293,45.14731661422436,52.95671015879949,60.55725208873869,60.67454054002432,71.84302800694542,103.7842030101667,128.73738856546603,130.299485537812,135.22187197341617,132.17328009129673,125.44588066831717,125.9680056717916,122.26540069914552,125.92524909759902,127.53289063918501,126.8995750632621,-0.007684572359781927,0.05906778436580207,0.26008693934238003,,
Algeria,26.016581741596642,26.37577807090336,27.702850044642854,29.058346430550408,25.024910387054227,26.516692760815065,24.333343114626228,24.33499330112704,21.90449555046632,21.380853236843116,19.456352649685947,16.708627633265465,14.914252680503498,14.968740953744957,17.43345725101865,16.565194854575118,15.51751305759309,16.386260113578707,13.097478850623357,16.64353230323212,14.963772427803423,-0.10338217081564083,-0.0247363284908777,0.030668989788366928,,
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4143346656275342,0.44015372658080776,0,0.943095142385916,5.008217376029425,5.163268398453219,5.765943816403739,6.095561445040376,0.05427785964180809,,0.012493153889787445,,
Egypt,0,0,0,0,0,6.983534255010792,14.716370551039766,13.981555161153848,14.025214881317815,13.097022138740156,9.96698374264406,9.004143070947922,6.863214066810991,3.8820694151138397,0.44905956746179176,0,0.7519937851373664,1.187334805450035,1.9799383697411919,4.548797851411593,1.8067536109181754,-0.6038915809188359,-0.10035243762575208,0.003703030656920956,,
Nigeria,6.056833709449366,7.718897558278481,8.06441296836076,11.805333195210977,13.1340141259611,12.88052106877997,18.416241155905837,22.58519095844593,22.705356758090605,16.056969599756936,24.053331308903182,25.68578303533634,27.905183542898214,22.482797922679165,26.13782233580052,26.892285174562236,24.625625833826454,28.212983178657616,27.881547466605063,28.76592808478947,28.426212848068335,-0.014509613029332291,0.06003811347662236,0.05826092556309526,,
Other Africa,0.83736,0.805959,0.703976686139535,0.785025,0.6988369068,0.95771844,0.7122893886,2.2471996862250863,5.191573760538421,5.417241189851316,5.291338560351518,4.973213109609725,4.56636070612784,5.220895378753081,4.991508987142414,5.02506130337051,4.351637496531356,4.949141884223989,5.474331287497869,5.510185003496847,5.112075628444268,-0.07478456613360829,0.0017025996047783654,0.010477451191038411,,
Total Africa,32.91077545104601,34.90063462918184,36.471239699143155,41.64870462576138,38.857761419815326,47.338466524605835,58.17824421017183,63.1489391069519,63.826640950413186,55.95208616519153,58.76800626158472,56.37176684915944,54.24901099634055,46.968838335918576,49.452001868004174,48.48254133250789,46.1898653154742,55.743937357939785,53.59656437292069,61.23438705933377,56.4043759602746,-0.0813941586622089,0.00906213388885524,0.11560355108920906,,
