Thousand barrels daily,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,tt,uu
Imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,6735,5950,5040,4990,5380,5065,6045,6245,7240,8019,8026,7791,7888,8620,8929.032876712328,8830.432876712328,9400,9907,10382,10550,11092,11618,11357,12254,12897.901639344263,13525.235616438358,13612.432136986301,13632.28789671233,12872.2349731486,11453.22408219178,11689.28293150685,11337.552602739725,10587.361284153008,9859.309349953317,9241.43061973093,9451.469952470961,10055.967182045559,10148.229331292096,9943.37134063945,9141.918683660571,7863.237491670689,-0.1398701121981406,-0.022287968332990404,0.12085941646856745,,
Europe ,12244,10653,9750,9038,8970,8768,9282,8283,9487,9752,9801,10171,10319,11477.538987069322,11092.438739019917,10693.600736422246,10631.375072549263,10647.138165618902,11272.44019569767,10806.592789875205,11251.416622268809,11756.5829646635,12146.115753396967,12341.277887868004,12854.335878175301,13556.817324310912,13727.796578298487,14241.129968922058,14065.691965353886,12802.460497151993,12407.089285434631,12489.070999068717,12720.952578907498,12919.93374390722,12957.102164684296,13992.712940921785,14354.3159753671,14699.762700764695,14150.772338058121,14865.62647460039,12611.31030726603,-0.1516462270316098,0.015053603169910668,0.19383817495716502,,
China,,,,,,,,,,,,,,678.2725473282467,527.4011977172878,679.3588440116713,828.0426231601366,1257.0159531397808,1053.7166313884109,1279.601242090329,1892.8735966019944,1787.9716433059998,1986.7742135795067,2643.224087078438,3445.009544871038,3427.019761607836,3883.4837714902465,4172.373235121369,4493.768974714535,5100.181814909014,5885.796887060464,6294.563856208164,6674.656964725301,6978.141341224165,7398.184079284578,8332.915989494766,9214.233741817125,10240.730236745265,11027.823507655343,11825.969682174074,12864.81783258141,0.0878446485427109,0.08774002738764741,0.19773463256924428,,
India,,,,,,,,,,,,,,858.5588767123287,851.1361369863014,915.0626301369863,1092.989808219178,1088.9360547945205,1265.4943287671233,1455.1369315068494,1638.3337260273972,1726.7663287671232,1870.8123561643836,2000.6709863013698,2138.5251092896174,2236.173506849315,2612.9778356164384,2923.6783835616434,3066.2092622950813,3490.981698630137,3748.523616438356,3822.859671232877,4167.641256830601,4369.667567461394,4154.8136319864425,4380.213730502184,4945.240255806104,4920.221383775957,5196.364470751998,5394.37007473243,5030.329958646131,-0.06748519494268412,0.04447804746689066,0.0773171030495165,,
Japan,4985,4460,4155,4145,4305,4045,4140,4125,4412,4549,4802,4925,5306,5307,5611.96712328767,5581.232876712329,5685,5735,5259,5346,5329,5202,5070,5314,5203.125683060109,5224.509589041095,5200.797750684932,5031.895130684932,4924.775702287357,4262.616493150685,4566.614328767123,4494.175150684932,4743.081338797815,4636.769698578438,4383.06387850893,4331.502816537807,4180.178922076414,4141.976518286877,3939.6719101560643,3779.630563209482,3310.030921441137,-0.12424485248356743,-0.011953670547539486,0.050875788259231725,,
Rest of World,8634.699453551912,8303.616438356165,7225.027397260274,6710.479452054795,6611.360655737705,6764.054794520548,7450,6540,7339.349726775957,8530.767123287671,9139.780556254138,9838.867692777041,10274.3892736538,10626.462823241394,11268.02666429609,11911.645566116564,13057.638695120924,13590.132573797808,13171.507165868987,13483.72593146337,13284.017531902387,14020.074469012883,13659.67209466887,13691.53081912251,14685.345075444708,15143.035641847675,15555.534947654245,17409.29693381862,17138.14515286556,17210.761993443,17048.475027018976,17633.608472763117,17812.30749664302,20012.144800643156,21193.453330412154,22025.72221306232,23775.59110543729,25662.61111556665,25852.952083886463,25396.84256833932,23381.298284221946,-0.07936200252822101,0.039675865984031056,0.3593748846962751,,
Total World,32598.69945355191,29366.61643835616,26170.02739726027,24883.4794520548,25266.36065573771,24642.05479452055,26917,25193,28478.34972677596,30850.76712328767,31768.78055625414,32725.86769277704,33787.3892736538,37567.833234351296,38280.0027380196,38611.333530112126,40695.04619904951,42225.222747351014,42404.15832172219,42921.056894935755,44487.64147680059,46111.39540574951,46090.374417809726,48244.70378037032,51224.242930185035,53112.79144009519,54593.02302073065,57410.66154882095,56560.82603066502,54320.22657947661,55345.7820762264,56071.83075269753,56706.000920057246,58775.96650176769,59328.047704607336,62514.537642989824,66525.52718254959,69813.53128643153,70110.95565114744,70404.35804671627,65061.02479582734,-0.075894921836279,0.026275111930045725,1,,
