Billion cubic metres,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,yy,zz
United Arab Emirates,12.6945,14.88825,13.89375,10.617750000000001,10.032749999999998,9.3405,5.537999999999999,3.8512500000000003,4.90425,6.864,5.89875,3.5782499999999997,2.418,1.43325,1.1017499999999998,1.0237500000000002,0.507,0.819,0.429,0.38025000000000003,0.351,0.38025000000000003,1.482,1.4625,1.2675,1.2577500000000001,1.2577500000000001,1.0237500000000002,0.94575,1.14075,0.8872500000000001,0.9262499999999999,0.94575,0.9555,0.94575,0.94575,0.9555,0.9945,1.330878366578787,1.086657362828115,1.150939429056622,0.9995112193254728,1.1042369515839092,1.265988569858805,1.002339923638657,1.064725778554425,0.059337921883033884,0.005828339638209279,0.007155987323832587,,
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,0.4875,0.4875,0.4875,0.5362500000000001,0.585,0.585,0.4875,0.702,0.585,0.43875000000000003,0.73125,0.4875,0.24375,0.2925,1.125739352868195,1.1640757465647473,0.6426229871903302,0.34136104230286496,0.3969324280443112,0.46094341752995244,0.7081613546473049,0.8502921767567175,0.1974233958450171,-0.0032032016451245537,0.005714786061333313,,
Other Middle East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0195,0.0195,0.029249999999999998,0.029249999999999998,0.029249999999999998,0.029249999999999998,0.029249999999999998,0.029249999999999998,0.029249999999999998,0.029249999999999998,0.0072390471898875,0.0035832422567175005,0.005692016730660001,0.0054501870519525,0.0058414684962854995,0.0009280792060215,0.0059981812734674995,0.00610255511850075,0.014621131501381779,-0.14652781545421678,0.00004101507444505702,,
Total Middle East,85.51724999999999,102.80399999999999,96.96374999999999,89.4465,84.5325,70.65825,46.64399999999999,36.036,26.45175,23.17575,21.05025,18.885749999999998,15.443999999999999,15.21975,21.830249999999996,26.373750000000005,41.369249999999994,25.623000000000005,24.569999999999997,15.697500000000002,13.835249999999998,13.7865,15.824249999999997,17.2185,19.958250000000003,19.987500000000004,20.806500000000007,19.353749999999998,29.922750000000004,29.47425,27.261000000000006,29.133,29.06475,29.172,29.601,27.621750000000002,28.723499999999998,32.37975,36.496070701806076,37.72015890242846,38.37974319397077,45.03783738862724,46.484773189671,45.901202677643845,42.84744186520465,42.0229873525504,-0.02192129511357943,0.0376761894855997,0.28243513105572493,,
Algeria,7.497750000000001,10.374,11.4465,11.934000000000001,9.769499999999999,9.467250000000002,6.561750000000001,4.6995000000000005,4.26075,5.56725,7.40025,9.301499999999999,7.3027500000000005,5.60625,5.9670000000000005,4.406999999999999,4.3875,4.4655000000000005,6.552,6.69825,6.922499999999999,7.3027500000000005,6.756749999999999,6.756749999999999,6.561750000000001,6.63,4.1925,4.0755,3.9,3.315,2.925,3.2175,4.563,4.82625,5.3625,4.875,3.5100000000000002,3.4125,8.827633959797522,9.177633848482719,9.631794311856122,9.666237840296729,9.229660659966191,9.403395909038089,9.725444714404578,9.30849584494983,-0.04548706318346751,0.061339228000574675,0.06256209778338183,,
Egypt,1.6184999999999998,1.2870000000000001,1.209,0.9652499999999999,1.06275,1.2577500000000001,1.248,0.8872500000000001,0.6824999999999999,0.55575,1.014,0.86775,0.4875,0.195,0.195,1.68675,2.3009999999999997,1.4625,1.2675,1.17,1.1212499999999999,1.0725000000000002,1.0335,0.897,0.897,0.8385,0.82875,0.82875,0.82875,0.78,0.78,0.78,0.82875,0.82875,0.82875,0.585,0.585,0.39,2.5790640371490343,2.9892396895707742,3.00255222191226,3.0219021882708845,2.506931365400553,2.420531028618349,2.5354452084821917,2.546132693523208,0.0014714726726965388,0.11831221561913696,0.01711247501153317,,
Libya,2.9347499999999997,4.0657499999999995,4.153499999999999,5.187,4.572750000000001,4.446,2.2619999999999996,2.457,3.2175,3.393,2.8274999999999997,3.315,2.1450000000000005,2.5155000000000003,2.19375,3.65625,3.588,1.989,1.68675,1.7257500000000001,1.7355,1.76475,1.8037500000000002,1.7842500000000001,1.482,1.3455,1.326,0.7605000000000001,0.73125,0.8775000000000001,2.5155000000000003,2.9055,2.83725,3.8415,3.1784999999999997,3.393,1.2675,3.822,4.125482526399517,2.9063588370139444,2.6892250058047042,2.442093251508885,3.9508400358289593,4.656175408857481,5.072903921883427,2.4953328352400272,-0.5094496122371859,0.04786043381508609,0.016771050816450292,,
Nigeria,18.08625,20.933249999999997,20.42625,19.548750000000002,27.953250000000004,22.893,13.991249999999999,12.499500000000001,12.206999999999999,12.5775,13.718250000000001,13.572,11.98275,14.371500000000001,18.26175,21.84975,24.0435,25.632749999999998,25.12575,26.23725,25.554750000000002,25.92525,22.035000000000004,20.377499999999998,18.378750000000004,16.77,16.380000000000003,18.4275,18.0375,22.035000000000004,21.9375,21.7425,21.7425,17.4135,14.04975,16.0485,13.91325,12.8505,9.244301912211803,8.28724017241341,7.476297632396873,7.241958973539518,7.5479774830455355,7.302722161585296,7.770606941361012,7.016219395677385,-0.09954917934595542,-0.05750591234684799,0.04715578233191923,,
Other Africa,3.8512500000000003,3.3832500000000003,4.39725,3.8512499999999994,4.26075,4.153499999999999,4.4167499999999995,4.212000000000001,3.997500000000001,4.290000000000001,4.212000000000001,4.319249999999999,4.007250000000001,4.446,4.5825,4.65075,7.14675,7.9072499999999994,7.497749999999999,8.306999999999999,9.8475,9.613499999999998,10.276500000000002,10.373999999999999,10.422749999999999,10.218,9.99375,12.04125,11.855999999999998,12.879749999999998,13.308749999999998,12.99675,12.489750000000003,12.89925,13.211249999999998,12.772499999999997,12.977249999999998,12.060749999999999,9.273602537997904,9.657165036469419,10.39662152130622,10.407900569537992,9.356157338390721,8.545833633306255,8.190132375737186,7.8250142923577695,-0.04719067850421055,-0.04668878757097639,0.052591666523699857,,
Total Africa,33.9885,40.04325,41.63249999999999,41.486250000000005,47.61900000000001,42.2175,28.479750000000003,24.75525,24.365250000000003,26.383499999999998,29.172,31.3755,25.92525,27.13425,31.2,36.2505,41.46675,41.456999999999994,42.129749999999994,44.13825,45.1815,45.678749999999994,41.9055,40.189499999999995,37.742250000000006,35.802,32.721000000000004,36.1335,35.3535,39.88725,41.46675,41.64225,42.46125,39.80925,36.63075,37.67399999999999,32.253,32.53575,34.050084973555784,33.01763758395026,33.196490693276175,32.78009282315401,32.59156688263196,32.32865814140547,33.294533161868394,29.191195061748218,-0.1256391084788564,-0.009504032215310043,0.19619307246698436,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.2145,0.14625,0.14625,0.8407287662842204,1.1443335591700738,1.1386691580057007,0.7495982428472168,0.7149916855516792,0.895494295981857,1.39801707218004,0.9893344962028614,-0.29426369954987264,0.21772097393152223,0.006649284967505919,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0115297478458695,0.01695246856049175,0.028916484138759753,0.0150213806947425,0.010462891605465,0.017850463445782498,0.0197995093969725,0.0247291107762075,0.2455634331798502,,0.0001662035491283515,,
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9012499999999999,1.7842500000000001,1.86225,1.9012499999999999,2.432267823964056,2.500029568289585,2.4611485954773995,2.3131260400827154,1.7987826812288676,2.0014428866504184,2.1853405905655636,2.8835457677822443,0.31588972439709884,0.014023431459034175,0.019380217308118904,,
India,,,,,,,0.5654999999999999,0.36075,2.0182499999999997,3.315,3.7634999999999996,2.5740000000000003,3.1590000000000003,3.53925,4.55325,5.4795,5.5575,2.847,2.4375,1.95,2.5837499999999998,2.379,2.3887500000000004,2.379,2.36925,0.73125,0.71175,1.5697500000000002,1.29675,1.014,0.9359999999999999,0.8775000000000001,0.897,0.897,0.98475,0.9652499999999999,0.9262499999999999,1.0237500000000002,2.2032376168488566,2.3687616313491486,2.6535281714143215,2.435264633751651,2.018562354394658,1.818982078533126,1.7713193232807143,2.0422332945972554,0.1497946166112487,0.06046682555675087,0.013725783542395743,,
Indonesia,3.8609999999999998,5.138249999999999,7.176,6.17175,6.17175,6.483750000000001,6.1425,5.1285,4.16325,3.9194999999999993,3.55875,3.69525,4.0657499999999995,3.63675,4.0755,4.601999999999999,5.60625,5.9864999999999995,6.3862499999999995,4.875,4.875,4.875,4.777500000000001,4.875,4.689749999999999,4.777500000000001,5.148000000000001,4.875,4.10475,3.7245,2.9542499999999996,3.12,2.70075,3.12975,4.758,5.0992500000000005,4.914,6.356999999999999,3.3217658238243084,3.2164046048126465,3.0423887552814994,2.9116410255614076,2.454282876699215,2.1662847158017646,2.1522352831849254,2.0190626947138637,-0.06443958720232568,-0.07626684683171503,0.013570054694282132,,
Malaysia,1.9012499999999999,2.27175,1.7355,1.3649999999999998,2.223,2.1255,1.7257500000000001,1.56,1.8037500000000002,2.4375,1.6575,0.78,0.34124999999999994,0.4875,0.4875,0.8775000000000001,0.8775000000000001,0.4875,0.8775000000000001,0.8775000000000001,0.9262499999999999,0.78,0.8775000000000001,1.0725000000000002,1.0725000000000002,1.17,1.17,1.4137499999999998,1.56,1.45275,1.4625,1.4625,1.2675,1.56,1.7550000000000001,1.17,1.2675,1.2675,3.0961496867953278,3.574980275302117,3.926145734688645,3.424287198591285,3.0853474163137085,2.512069555730085,2.726498773070182,2.6804983316889373,-0.01955775951249572,0.04503977077077015,0.018015542094945092,,
Myanmar,0.156,0.12675,0.156,0.12675,0.10725,0.0975,,,0.078,0.04875,,,,,,,,,,,,,,,0.195,0.0975,0.0975,0.0975,0.195,0.195,0.14625,0.14625,0.0975,0.0975,0.0975,0.04875,0.14625,,0.08672706138427501,0.07080732223305,0.06004372757292,0.046377287440574996,0.038481159730455,0.0289068549471,0.0264951943416225,0.0277075655568075,0.042900892497694354,-0.12215821482802292,0.0001862216468243797,,
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0975,0.5960922256438305,0.4544233252047567,0.4682871673813612,0.446075005795809,0.3583641226191682,0.30605608697979897,0.29337505417213494,0.27828732246536325,-0.05401986077882892,,0.0018703600420468796,,
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4496478756218475,0.44160315867081373,0.4685750344275097,0.46172419412018256,0.409503430031085,0.337117356788355,0.342252415224915,0.3517258750341502,0.02487187751495612,,0.0023639381650226907,,
Vietnam,,,,,,,,,,,,,,,,0.39,0.702,0.702,0.7605000000000001,0.7605000000000001,0.273,0.312,0.26325000000000004,0.39,0.2925,0.2925,0.2925,0.24375,0.34124999999999994,1.4625,0.6824999999999999,0.78,0.585,0.585,0.585,0.61425,0.5362500000000001,0.63375,1.0539691500158925,1.043939378691573,0.9999210166580699,0.8968797290654175,0.9527835554874976,0.7741768078132725,0.7756628441655599,0.67274675687778,-0.1350511939160638,0.028612297581357637,0.004521509069596358,,
Other Asia Pacific,1.4917500000000001,1.1797499999999999,0.8775000000000001,1.0725000000000002,1.21875,1.17,0.59475,0.546,0.94575,0.39,0.3315,0.2925,0.2925,0.2925,0.2925,,,,,,,,,,,0.195,0.34124999999999994,0.43875000000000003,0.34125000000000005,0.34125000000000005,0.34125000000000005,0.39,0.4875,0.6045,0.4875,0.59475,0.6629999999999999,0.5654999999999999,0.7359969371592923,0.9709456774744156,0.81682078264488,0.9070699873670467,0.6890355905228641,0.5938018882324327,0.5699780591998252,0.4544225622601177,-0.20491506077240884,0.015753556975927285,0.0030541592593089487,,
Total Asia Pacific,7.41,8.7165,9.945,8.736,9.72075,9.876750000000001,9.0285,7.595250000000001,9.009,10.11075,9.31125,7.341750000000001,7.858499999999999,7.9559999999999995,9.408750000000001,11.348999999999998,12.74325,10.023,10.46175,8.463000000000001,8.658,8.345999999999998,8.307,8.7165,8.619,7.263750000000002,7.956,8.8335,8.034,8.385000000000002,6.717749999999999,6.9712499999999995,6.23025,7.0687500000000005,10.764000000000003,10.491,10.46175,11.9925,14.828112715387778,15.803180969758671,16.064444627691064,14.60706472531805,12.530597764184664,11.452182990903994,12.260974118782453,12.42429377795559,0.01055164949020515,0.013106562756563411,0.08350327433917541,,
Total World,168.90899999999996,194.5125,189.57899999999998,182.78324999999998,185.31825,160.02675000000002,122.421,107.15250000000002,96.35925000000002,97.41225000000001,100.854,99.5085,91.6695,93.25874999999999,105.02699999999999,109.2585,129.95774999999998,109.77525,106.65525,101.18549999999999,101.99475,104.14949999999999,106.90875,105.87525,98.709,91.299,89.13450000000002,96.20325000000001,101.33175,114.7575,118.17,119.38874999999999,124.99499999999998,137.25074999999998,133.185,121.992,119.14499999999998,125.85300000000001,147.5284092640562,151.30311025857634,152.9853093874322,156.04633543420834,147.60045166396614,151.03812265849146,156.8755438631309,148.78810293702165,-0.0541446141849401,0.016506108850107504,1,,
