Terawatt-hours,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,iii,jjj
Trinidad & Tobago,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000127,0.000635,0.000965,0.001498,0.002175,0.002339,0.002686,0.002881,0.00313,0.0035350000000000004,0.004004,0.004004,0.004004,0.004004,0.004488000000000001,0.005151,0.005151,0.005151,0.004669990925118327,0.004669990925118327,0.004671000000000001,-0.0025167543981887697,0.028235660929257556,0.00000545853129630452,,
Venezuela,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00246,0.00298,0.00522,0.005347317073170732,0.00674780487804878,0.008784878048780488,0.010035508338020782,0.0100080889163322,0.009452251347077745,0.01257149441556098,0.01257149441556098,-0.002732240437158473,0,0.000014691050248053328,,
Central America,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002777777777777778,0.0002777777777777778,0.0002777777777777778,0.0002777777777777778,0.00027877777782527524,0.00027877777782527524,0.0005575555556505505,0.0013078893759403954,0.002455458756104308,0.01291587200889377,0.5951389798538048,1.1773679585959727,1.4610014907910192,1.7998257229962389,2.2208029946436754,2.11055885290069,-0.05223817523017049,1.455416603691868,0.0024663993901200983,,
Other Caribbean,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00010101010101010102,0.00012399999797344207,0.0003239999979734421,0.00034000000059604646,0.00034000000059604646,0.00045500000119209287,0.005058138183010275,0.004414269095319835,0.006192111109859413,0.009866888875597054,0.019732989903445346,0.046085939400823735,0.08643398401977405,0.2051371637688741,0.2507341990431468,0.3286088093308581,0.4228625633971734,0.5263265043829666,0.6865312044269948,0.8039020062585707,1.3440399335801017,1.8114604923075317,0.3440903812196665,0.5251829016254843,0.002116873001344434,,
Other South America,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000016,0.000016,0.000016,0.000024,0.000024,0.000026,0.000037,0.000037,0.00009800000000000001,0.000128,0.008909338376566617,0.03563677777157889,0.05433429843739011,0.04710184333428701,0.06380281068209685,0.12283661971934531,0.22520722674107413,0.34633588440831287,0.6179763026003906,0.6916415471055339,0.794590112438579,0.14570777958412173,1.3619304786733952,0.0009285581238450246,,
Total S. & Cent. America,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000017,0.00012701010101010102,0.0021380136966035793,0.003686749997973442,0.006019250000596047,0.008332000000596047,0.010675726028589351,0.017325555890788054,0.007519921873097612,0.009514950887637192,0.013543053653374833,0.023758730281270624,0.061823945555215636,0.1312844373470035,0.3395223683822046,0.536830656517909,1.1230847781866973,2.8547880022922603,4.874459088204111,7.577886727469849,12.719591622848371,19.088907658564807,22.775573869261965,0.18987141284461395,0.9520717882356309,0.026615539018767252,,
Austria,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.003,0.005,0.009000000000000001,0.015000000000000001,0.018000000000000002,0.021018375000000002,0.022386875,0.024238375000000003,0.03011991000000001,0.04891428,0.08881314000000001,0.17406996000000002,0.3374830500000001,0.625974,0.7852460000000001,0.937098,1.0960160000000003,1.268971,1.4551320000000003,1.702093,1.5905747289147356,-0.0680715470176586,0.4261157033360359,0.0018587458653162407,,
Belgium,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.002,0.006,0.042,0.166,0.56,1.169,2.148,2.644,2.8862,3.0563000000000113,3.095200000000011,3.307600000000012,3.9029000000000136,4.247,5.137378996938575,0.20634387621900907,0.3829211456806487,0.00600354186164991,,
Bulgaria,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.015,0.101,0.8140000000000001,1.361,1.252,1.383,1.3860000000000001,1.402965,1.342775,1.4425000000000001,1.4973190693742635,0.03516674777510609,0.854383083068502,0.0017497672876756528,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000016464,0.000016464,0.000016464,0.002,0.011293959,0.035,0.057,0.066,0.0787,0.07490000000000001,0.0831,0.08405911532036503,0.008777925467809533,1.3458841807074178,0.00009823149469404478,,
