Thousand barrels daily,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,z,aa
Total CIS,112.44289617486339,120.42876712328767,134.78205479452055,145.58753424657533,150.25515382891226,162.24534069776178,187.10380141060733,218.33098379061812,213.760830967372,248.22869488298753,252.3428201346504,270.6324955389515,286.22939595898066,323.28637532324376,486.0648200564047,520.6834715561562,527.9953968084102,535.0281157197916,519.1873593259652,546.949662098568,530.4072529156914,-0.03024484761432289,0.08220500329083125,0.045311214901625624,,
Iran,81.74221311475411,82.70479452054795,83.3013698630137,95.03260273972603,106.00928961748633,122.28602739726028,163.56698630136987,185.98999999999998,241.87978142076503,269.9219178082192,352.2146575342466,404.09999999999997,412.0403005464481,417.63260273972605,441.1535616438357,460.5406849315068,488.0407103825136,363.99999999999994,368.00000000000006,379.00000000000006,354,-0.06596306068601598,0.03452289365315475,0.030241234423174577,,
Iraq,15,20.000000000000004,20.000000000000004,10.000000000000002,18,20.000000000000004,25,27,33.99999999999999,40.8931506849315,44.83561643835617,45.14520547945205,41.50273224043716,41.471232876712335,40.342465753424655,40.69589041095891,47.61748633879781,64.46027397260274,64.38630136986302,67.72602739726027,64.33060109289617,-0.05013473305391969,0.05174511347518895,0.005495584147553683,,
Kuwait,158.42256830601096,158.543698630137,149.55109589041095,175.26386301369865,183.21983606557376,184.2446301369863,193.52076712328767,196.38219178082193,216.6372404371585,223.98345205479453,257.3901369863014,272.59041095890416,282.88256830601097,286.9606849315069,275.9916438356164,287.8283561643836,289.7184426229508,305.03178082191783,313.1056164383562,298.40882191780827,248.04582286465651,-0.1687718168969663,0.029104725534156328,0.021189864059150604,,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,69.9422131147541,77.98178082191781,72.67479452054795,106.08630136986301,121.19754098360657,138.41465753424657,146.96,162.5058904109589,221.5617486338798,264.39178082191785,322.8154794520548,425.8342465753425,436.73442622950824,471.14493150684933,466.2053424657534,469.8061643835616,473.310519125683,450.1691780821918,470.77561643835617,476.1234246575343,450.2956284153006,-0.05424601039281174,0.060589101072248575,0.038467501860558806,,
Saudi Arabia,1026.6653324999997,1046.130315576923,1113.400315576923,1097.2818393598525,1183.92075988451,1241.1607995831234,1205.5724197402528,1194.4682656717596,1211.3879064585958,1297.9454490042149,1441.7747020600632,1513.0233067975328,1634.9964687803167,1518.118415514581,1577.3556010367697,1577.6667515670158,1717.847607660895,1717.0362617071712,1728.3333417470308,1687.3192427765857,1608.951333997663,-0.04644521723699646,0.026583032573188392,0.13744823295735248,,
Syria,28,33.99999999999999,53,50,45,34.99999999999999,34.99999999999999,34.99999999999999,35.00000000000001,34.99999999999999,34.99999999999999,33.8247,25,14.164400000000004,10.000000000000002,8,8.000000000000002,8,8,8.999999999999998,10,0.11111111111111138,-0.12699356183940114,0.0008542721588467395,,
United Arab Emirates,265.28799999999995,258.67199999999997,294.65999999999997,299.1290000000001,304.53,302.463,306.51200000000006,310.295,293.89400000000006,299.776,333.807,446.7879999999999,479.1154366120218,482.4633656164384,539.4885542465754,613.7972219178082,653.6322255464481,630.5038964383562,604.3403160273972,638.8802275342465,569.2897593231964,-0.10892568780792289,0.07860457663412279,0.04863283917063678,,
Yemen,,14.142465753424657,18.59178082191781,19.672328767123286,20.886338797814208,20.91178082191781,21.007123287671234,21.865205479452055,21.23497267759563,21.92876712328767,22.56438356164383,23.2,23.770491803278688,24.471232876712328,25.106849315068494,25.742465753424657,26.306010928961747,27.013698630136986,27.649315068493152,27.649315068493152,27.57377049180328,-0.002732240437158473,0.023450909293078803,0.002355550444557731,,
Other Middle East,10,10,10,10.000000000000002,10.377857923497267,10.58340273972603,10.147849315068493,9.597178082191782,9.748584699453552,9.834191780821918,10.332276712328767,10.774328767123288,10.450819672131148,9.564383561643837,10.165553424657535,9.96229589041096,10.109289617486338,9.597260273972601,10.980821917808221,18.556164383561644,18.08196721311475,-0.02555469765438001,0.06555274882510465,0.00154469211673435,,
Total Middle East,1655.0603270355189,1702.1750553029503,1815.1793566728134,1862.4659352502636,1993.141623272488,2075.0642982132604,2107.28714576765,2143.103731425184,2285.3442343274482,2463.674709278188,2820.734252744995,3175.2801985783544,3346.493244190153,3265.9912496241705,3385.809571721701,3494.0398310190703,3714.5822922237367,3575.8123499263493,3595.571329007305,3602.6632237354897,3350.5688833986305,-0.06997443965230543,0.038733241444863786,0.28622977133856575,,
Algeria,259.98579234972675,273.44219178082193,297.3413698630137,290.73095890410957,292.3136612021858,298.1676712328767,282.75397260273974,305.22301369863015,307.7171942032787,257.52,228.37698630136984,225.13534246575344,216.37486338797814,210.13479452054798,260.2213698630137,267.7852054794521,261.2218579234973,253.6109589041096,251.67232876712328,247.413698630137,233.55300546448086,-0.0560223352320387,-0.0039955522741060845,0.01995178301832864,,
Angola,,,,,3.7642076502732236,4.206630136986302,19.837068493150685,21.697698630136987,21.639344262295083,19.843835616438355,19.23604096040241,13.961580717019272,19.856001170960184,22.299649315068493,29.70121205479452,16.122188493150684,23.217114754098354,39.00120219178082,40.28613260273972,46.73191381917807,46.604230994535506,-0.002732240437158473,0.08942865599979166,0.003981269702309397,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,
Republic of Congo,9,12,11.000000000000002,8.999999999999998,8.000000000000002,7.7104,7.7104,3,2.0000000000000004,7,7,8.8,11.5,8.999999999999998,8,7,7,7,7,7,6.7486,-0.03591428571428579,0,0.0005765141091193106,,
Egypt,34.95846994535519,38.772602739726025,35.912328767123284,36.865753424657534,34.54644808743169,38.136986301369866,55.61643835616438,60.701369863013696,64.65573770491802,65.46849315068494,61.336986301369855,65.15068493150685,65.92349726775956,66.73972602739725,47.04515068493151,64.2290410958904,60.02841530054645,57.300821917808214,57.6186301369863,56.061369863013695,55.90819672131147,-0.002732240437158473,-0.015392508015848239,0.004776081591034295,,
Equatorial Guinea,9,14,16,25,48,75.3043,20.8249397260274,22.049769863013697,20.53539071038251,22.394512328767124,19.67671780821918,20.708849315068495,20.24328961748634,20.714057534246578,18.82971780821918,17.40058082191781,19.397926229508197,21.19990684931507,19.06964383561644,16.65004383561644,15.196656057243125,-0.08729032744432452,-0.029205343563096675,0.0012982080177272465,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,60,60,59.96087,60.00000000000001,56.892590000000006,70.209961064244,62.06940653770499,65.55413360079989,67.4890896205653,51.49590000000002,50.4959,8.494499999999999,39.99999999999999,22.356200000000005,7.5342,15.000000000000004,15.000000000000002,20.0411,21.2328,27.12329864501953,15.276000000000003,-0.4367941672608825,-0.06209902937132483,0.0013049861498542795,,
Nigeria,32.422950819672124,37.27890410958904,43.38082191780822,44.14356164383562,45.00546448087431,51.484931506849314,56.37917808219178,70.23561643835616,72.0087431693989,73.03232876712329,78.1808219178082,88.00109589041098,81.58032786885245,85.58575342465754,88.22356164383561,82.3441095890411,78.2207650273224,79.70630136986301,84.82301369863013,88.03287671232876,63.609836065573774,-0.27743090489435984,0.018856392093876018,0.00543401119796249,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,5.454098360655738,5.558767123287671,6.109753424657534,6.007342465753425,4.582213114754099,6.6975342465753425,6.925698630136987,8.424328767123288,8.439453551912568,8.830136986301369,4.1658904109589034,6.588986301369864,12.521994535519129,12.239890410958903,11.754712328767125,9.973178082191781,8.681366120218579,4.8323835616438355,8.552129863013699,2.7980547945205476,2.7904098360655736,-0.002732240437158473,-0.10856665067814752,0.0002383769434722914,,
Other Africa,,,,,,,,,,,,,,,,,,,0.5053150684931507,0.7783758904109589,0.794387650273224,0.02057072946312788,,0.00006786232529600958,,
Total Africa,410.8213114754098,441.0524657534247,469.70514397260274,471.74761643835615,493.10458453551917,551.9184144889016,512.117102428116,556.8859308610739,564.4849532227511,505.5852068493151,468.4693437001284,436.84103962112886,467.99997384855584,449.0700712328767,471.3099243835616,479.85430356164386,472.7674453551912,482.69267479452054,490.75999397260273,492.589632190225,440.4813227894835,-0.10578442174889036,-0.0026006270402877396,0.03762909305510396,,
Australia,95.84639415512483,89.61832905650324,98.08887130174371,96.49739806783089,92.78399038674686,99.3306047634431,99.30454139722285,90.5442637675816,82.37903013151899,84.21756314586005,77.08668861116008,71.28120229677046,73.22074808396431,72.20138570657559,82.54907153954507,62.02694507488753,69.25430623767997,64.01194709719906,60.116533208214165,97.67424761338316,114.32342064470534,0.17045611753492462,0.01493385715149409,0.009766331536089634,,
Brunei,15,15,15,14.000000000000002,16.51145779889176,14.328502503409583,15.731087218392625,14.850160709395851,14.256473861581489,13.683134173240267,12.713424916504803,12.768539830672129,12.8620128522103,13.13421357355002,12.067050162679191,11.434162857336887,11.829524608154086,12.58431110166118,11.982995544428526,11.721912738041759,9.55841985153678,-0.18456824708169672,-0.015351349895930233,0.0008165491961735856,,
China,,,,,,,,,,,,,,,,,,,,,,,,,,
India,64.65573770491802,70.07671232876713,74.68493150684931,75.19342465753424,71.5016393442623,81.21534246575342,79.43424657534246,78.27657534246576,114.60478142076502,147.50876712328767,139.62049643835616,143.66664219178082,139.60008524590165,136.43678465753425,127.53224873802137,122.30673040642654,129.54889174754481,140.87001819667879,150.39414600390123,153.7910795919952,134.9032824563009,-0.12281464689501675,0.004179453978462533,0.011524411833945565,,
Indonesia,41.86893224043716,44.98683397260273,40.85675726027397,36.33421917808219,35.484780327868854,33.62410958904109,12.144868526027397,17.375652712328765,28.862543169398908,45.46790027397261,58.118955616438356,50.23267781917808,58.010033049180336,57.976398290410955,58.26750744109588,51.8535560939178,44.693868355191256,36.947578313496216,36.35591073896362,36.239581928767116,34.73592090054802,-0.04149222888869719,-0.02243008399657831,0.0029673930137240736,,
Malaysia,42.61236296467329,37.76999528042862,43.36341442882797,22.777325398121075,14.951706303394136,38.02948379762241,29.870011534751182,42.75794122204248,39.161969202351564,29.178042155567756,79.28815803143412,76.34728816990456,65.06867570111717,38.80794934920377,38.80794934920377,34.71379718903516,59.2605128678756,57.69294698941806,64.86052170857302,58.195749983614675,54.71289984015377,-0.059847156268997725,0.07147862625246937,0.0046739707063213586,,
Thailand,75.48139207650274,91.83758863013699,92.27153438356164,95.74278794520548,97.45564262295082,126.19003178082193,131.84024,140.34091068493152,141.98340874316938,147.33084164383564,151.56517808219178,204.87858739726028,232.1481355191257,224.93821589041096,231.04417643835615,232.65010301369864,230.97476393442622,246.51915397260277,243.55290575342468,242.45815342465758,215.73975423497265,-0.11019798184674168,0.05107646639417096,0.018430046559937508,,
Vietnam,8.14535519125683,8.39013698630137,11.091506849315069,11.282191780821915,11.504918032786886,11.758904109589041,10.964383561643835,8.93041095890411,8.240437158469945,8.19945205479452,7.690958904109588,7.754520547945206,8.177049180327868,9.502465753424659,9.62958904109589,9.184657534246574,9.856830601092897,9.311780821917807,13.37972602739726,11.82882191780822,11.745792349726775,-0.007019259285359958,0.03732696234265864,0.001003410338796661,,
Other Asia Pacific,16.090000519996153,18.821910731743383,18.104574268120896,15.42343660177886,29.47363031917692,44.836875015474355,53.158344623093,46.96061792747808,51.26947639734274,50.7327516664879,48.151283626580806,46.067654573183304,45.00138375827906,37.585759787013664,35.563783094581574,32.71968345170055,30.700315659978802,31.964256159071926,25.919315795771123,25.579118098382892,21.08373607373551,-0.17574421476757562,-0.06618743168830532,0.0018011248732264912,,
Total Asia Pacific,359.700174852909,376.5015069864835,393.46158999869255,367.2507836293746,369.6677651360785,449.31385402515497,432.4477234364733,440.0365333251282,480.75812008459803,526.3184522370465,574.2351442267757,612.9971128266949,634.0881233901064,590.5831730081238,595.4613758045789,556.8896356212497,586.1190140119436,599.9019926520458,606.5620547806736,637.4886652966507,596.8032263516798,-0.06382143112464311,0.019347793343095443,0.05098323805821488,,
Total World,6117.7382148001525,6276.088055074293,6447.486244912879,6357.053042631393,6674.358999162323,6841.180116044616,6935.089496621508,7008.759988789573,7118.317578097061,7443.944549969981,7924.761141399605,8403.727590601115,8785.631561409164,8880.22136375578,9633.451083466392,10065.21344946376,10531.89163242265,10717.749451405783,11277.831085377564,11812.867035046318,11705.87136247062,-0.009057553281372255,0.04726169427048843,1,,
