Thousand barrels daily*,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,tt,uu
Poland,324,273.00000000000006,269,273.99999999999994,273,282,287.00000000000006,287.00000000000006,310,317,265,238.99999999999997,264.00000000000006,280,301.00000000000006,309.99999999999994,319,353,366,370,379,377.99999999999994,365,357.99999999999994,373.3293169398907,376.09928767123284,395.8260246575342,402.1981041095891,416.56830601092895,407.6684931506849,457.87397260273974,481.9726027397261,504.6885245901639,487.9972602739726,485.9890410958904,532.1780821917808,516.7049180327868,508.0794520547945,540.2109589041096,545.8599790410958,512.6788654644809,-0.06078685899432257,0.029621044607913705,0.0067893858899791175,,
Portugal,143,147.99999999999997,147.99999999999997,161,135.99999999999997,134.00000000000003,149,151,150,185,210.32079452054796,192.3472328767123,225.64784153005465,216.90775342465753,271.31041095890413,258.13649315068494,235.2409289617486,247.57326027397258,271.3706575342466,259.6024931506849,232.65740437158473,249.74213698630135,235.90550684931506,253.8790684931507,254.2468579234973,263.2373698630137,265.38616438356166,247.29210958904113,241.2491256830601,208.9752876712329,226.86852054794522,206.34452054794525,221.3820218579235,239.2190684931507,216.72701369863015,278.0781095890411,278.54,283.90121957940926,251.8182904537671,223.27238238356165,213.52237762243163,-0.04366865555445365,0.006639591765924768,0.0028276683816703314,,
Romania,548.7486338799999,540.61260274,530.97315068,521.33369863,510.29617486,496.03013699,537.68060274,595.8386301400001,588.4027322399999,614.8163013699999,475.2249863013698,305.06857534246575,259.79442622950825,267.73578082191784,296.09183561643835,306.43416438356167,268.8868306010929,249.64172602739725,251.4290410958904,198.7132876712329,212.26959016393442,231.04561643835618,242.21131506849312,217.91186301369868,252.2641530054645,279.102301369863,266.28986301369866,279.60435616438355,282.38524590163934,246.50890410958905,216.98808219178082,194.2952054794521,182.2486338797814,189.35498630136988,194.27512328767122,207.8908493150685,228.4917213114754,225.46276712328768,231.7083287671233,243.93838356164383,206.22133879781424,-0.15461709720765782,-0.0010476955795898357,0.0027309810139686465,,
Slovakia,194.78573434339847,180.7598163395712,160.3563040511248,161.56123440886208,159.09704452003945,160.55712098944673,162.74608403036032,165.75840513673552,161.30005265845625,159.85424734141722,126.67846575342466,101.6962191780822,87.65959016393442,85.95178082191781,96.5752602739726,103.78476712328768,105.18349726775958,106.71676712328765,109.44794520547946,109.02621917808219,108.98868852459016,110.29139726027397,112.80167123287671,113.50454794520549,114.41609289617486,109.24712328767124,113.28364383561646,119.58945205479452,117.09975409836066,114.46849315068494,109.50819178082193,120.31241095890412,108.12751366120219,116.29597260273974,104.8290410958904,119.08739726027396,114.91677595628417,111.5967397260274,109.00614679205908,102.62,111.67982531846674,0.0882851814311707,-0.010867197760832004,0.0014789714990992983,,
Spain,981.7593715846995,938.2199533540909,897.3124931506849,894.5009863013698,870.6878109707858,895.3243561643836,975.7535593738295,931.532579813918,982.760737704918,1002.402602739726,1016.7613698630138,1060.2192328767123,1100.3010928961749,1044.2940547945207,1101.7291232876714,1109.6415068493152,1095.354344262295,1115.204273972603,1200.3728493150686,1180.7525479452054,1143.4800000000002,1131.6114246575344,1133.9610410958906,1149.0829315068493,1199.0357923497268,1194.8502465753427,1210.333616438356,1158.8227945205479,1173.8013661202187,1057.347479452055,1060.2192328767123,1050.6199452054796,1186.2783879781423,1167.6187945205481,1185.2911232876713,1305.9650136986302,1301.5356284153004,1326.1877808219178,1363.4402465753424,1318.3557260273972,1104.5669087300619,-0.16216322580973297,0.022307360191844205,0.014627735781297384,,
Sweden,344,282,261,283.00000000000006,281.99999999999994,276.99999999999994,370,327.00000000000006,303.00000000000006,335.6939178082192,348.36578082191784,335.4529315068493,347.85456284153,366.88156164383565,361.0376438356164,365.3151506849315,396.5610109289618,415.58087671232875,406.98569863013705,402.0454794520548,412.34254098360657,405.0377260273973,386.4817808219178,403.7926301369863,424.3789617486339,412.5685479452055,415.46038356164377,368.78936986301375,413.20371584699456,394.39416438356164,406.1824109589041,374.4123835616439,416.8687158469946,331.91846575342464,379.5132602739726,401.28235616438354,394.95882513661206,391.5023287671234,405.519698630137,336.71810958904103,348.6957103825137,0.03557159669282761,-0.015686142209269227,0.004617763468409061,,
Switzerland,89.00000000000001,78,77.00000000000001,81.99999999999999,79,81.99999999999999,84,81,78,60,62.00000000000001,95,86,96.00000000000001,97.99999999999999,94,107,100,102,103.00000000000001,93,99.00000000000001,99.00000000000001,90.65101369863014,101.89901639344262,95.97279452054795,109.12663013698631,93.86416438356166,100.53715846994537,95.35024657534248,90.14895890410959,87.27720547945205,67.99275956284153,97.33838356164384,98.18183561643836,56.29038356164383,58.72010928961749,57.25432876712328,60.50764383561644,54.68380821917808,56.35688524590164,0.030595473892705005,-0.05408155717522123,0.0007463319970193036,,
Turkey,256.00000000000006,259.99999999999994,301.00000000000006,313,312,334.99999999999994,368,441.99999999999994,501,438,462,453,467.99999999999994,516,503,550,530,543,534.9999999999999,526,485,519,525,534.7887671232877,524.6757923497267,520.4099178082192,530.4510136986302,517.7791506849316,490.00849726775954,374.59312328767123,391.6228219178082,394.2335068493151,398.1832240437158,420.8022465753425,406.28282191780823,525.510794520548,531.4850819672131,541.516301369863,472.3331506849315,675.0628767123288,653.831994535519,-0.031450229170070565,0.06066549912614261,0.008658671182192325,,
Ukraine,,,,,,,,,,,1171.836078696055,1096.4876712328767,767.0464480874318,471.93150684931504,393.61095890410957,338.4331287671234,269.90622131147546,257.7187835616439,268.1635315068493,221.03062739726025,182.13447814207646,323.6064465753425,404.69833698630134,440.11729863013704,440.4889398907104,368.54838356164385,288.86827123287674,279.3633698630137,243.12504296278655,255.35939878306354,248.95815555969847,205.5928705857253,107.98139886522938,84.99428502134735,69.20036791794661,63.94967494714714,64.27563560737474,76.6894041073737,59.4,64.20000000000002,67.98362576381423,0.05893498074476966,-0.12895956095933903,0.0009003044607510532,,
United Kingdom,1624.9768852459022,1447.062493150685,1363.1189094438944,1354.3430627274186,1384.168328874098,1383.1810410958904,1395.8126845686404,1398.7246881772394,1519.0123224043714,1533.0343046841556,1568.318791637682,1601.4945810396378,1615.2836612021856,1712.0068493150684,1672.5251916336686,1687.5868354692855,1761.4229606670108,1763.7787985605737,1719.1159452054794,1662.9058904109593,1639.8861741515213,1548.7367684136616,1584.4166996618815,1575.681837889799,1655.1479588697405,1619.4178603953203,1532.810979453507,1528.4776329372767,1533.032275473549,1440.2805699682954,1395.0973815635348,1432.778672894605,1347.9225662525328,1197.1521406849454,1124.9759136785349,1117.5482673972604,1071.0846341530055,1073.160197260274,1040.6950649589041,1043.6959408496534,886.0727375270942,-0.1510240647235258,-0.03169385210575959,0.011734226134348838,,
