Exajoules (input-equivalent),1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,iii,jjj
Trinidad & Tobago,0,0,0,0,0,0,0.00035000000000000005,0.00035000000000000005,0.00029,0.00025,0.00023,0.00018999999999999998,0.00023,0.00029,0.00029,0.0002600000000000001,0.00018999999999999998,0.00018,0.00016,0.00013000000000000004,0.00017,0.0002600000000000001,0.00031,0.00027,0.0002600000000000001,0.00031,0.00025,0.0003,0.00028000000000000003,0.00032,0.00033000000000000005,0.00017,0.00018,0.00018,0.00018,0.0002,0.0002881168831168831,0.0002566451612903226,0.00011769230769230768,0.00022414012738853497,0.0002130379746835442,0.00025018867924528294,0.00018168749999999988,0.00019006211180124213,0.0001794444444444443,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,,
Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Central America,0,0,0,0,0,0,0.0010700000000000002,0.0014099999999999998,0.00117,0.0015600000000000002,0.00338,0.007240000000000001,0.006990000000000001,0.007520000000000001,0.0064199999999999995,0.006821052631578947,0.011091052631578946,0.011981052631578948,0.010261052631578949,0.012371052631578946,0.009369900000000002,0.0086075,0.009105160000000001,0.00883962,0.01171867,0.012207556315789476,0.013350639157894736,0.018216531736842106,0.017220100210526317,0.016930572210526317,0.01750838894736842,0.01739425295487905,0.018508323641578946,0.01614320929684211,0.024137014313684216,0.02805617861694737,0.030334487332909093,0.0328341264006927,0.03478039914923076,0.03625393027929935,0.03869527899981011,0.04133073144654086,0.04547627095506248,0.04674423261484469,0.050003392909814794,0.056585012548443704,0.05606415325411399,0.06378553043721075,0.06778567115883853,0.07191116033935023,0.07329249333323178,0.07931018144391107,0.0791181628945334,0.08589315467874195,0.09481760839468173,0.09391993534073009,-0.012173739864225763,0.06607792913412935,0.015105125847411355,,
Other Caribbean,0,0,0,0,0,0,0.0097,0.008310000000000001,0.00978,0.009840000000000002,0.01012,0.01103,0.011930000000000001,0.013390000000000003,0.012890000000000002,0.012920000000000001,0.013080000000000001,0.014060000000000001,0.015150000000000002,0.01289,0.012090000000000002,0.012660000000000005,0.013040000000000001,0.01422,0.01389,0.01603842105263158,0.013678421052631578,0.014700000000000001,0.01064,0.011310000000000002,0.009510000000000001,0.012221710947368424,0.011789999999999998,0.010404756840000001,0.012171200650526317,0.013355064219974264,0.012606890631150182,0.011677475510493533,0.009465644528011071,0.010260425122681837,0.007345427902754868,0.007280845536071588,0.007671303430274637,0.008429323976803014,0.00851547712701917,0.00724108717441808,0.00771082771032492,0.009045477116464262,0.01030446806413738,0.008636711939707928,0.009280346836743326,0.009087532786951581,0.00959946424669572,0.008938708105850988,0.011078045642860116,0.011214211490700343,0.009525680714495,0.02665710334321969,0.0018035795620171729,,
Other South America,0,0,0,0,0,0,0.0005600000000000001,0.00059,0.0006100000000000001,0.00066,0.00063,0.00072,0.00074,0.0005600000000000001,0.00079,0.00084,0.0008900000000000001,0.00091,0.0007500000000000001,0.0008000000000000001,0.0009500000000000001,0.00097,0.0011,0.00107,0.0009500000000000001,0.0011099999999999999,0.0011189473684210527,0.0012384210526315792,0.0013357894736842103,0.0011984210526315789,0.0012163157894736843,0.0011957894736842104,0.0011578947368421054,0.0012878947368421053,0.0013478947368421054,0.0010423608277235468,0.0010586431159463367,0.0011881257986285708,0.0011584754383980379,0.0010881496272380983,0.0010118814619351321,0.0011815321549932332,0.0022162493203560806,0.009414150559936251,0.010094543139456923,0.011550699414786104,0.011921246762085067,0.01369672592504727,0.01551288799023779,0.02081010714618332,0.025491630926046373,0.03216985023704867,0.030552016836039076,0.030270057171872075,0.02781336184429761,0.02779610395103136,-0.0033510344056385533,0.10666629149389961,0.004470442262602104,,
Total S. & Cent. America,0,0,0,0,0,0.0056223249125364454,0.021442598637026244,0.021309233394274377,0.02265842809402333,0.02378219471428572,0.02864100216509434,0.033525405165451896,0.03673700570316712,0.04074080737087912,0.04372413163392858,0.043928650936021454,0.04871450638157894,0.05506492203595681,0.0634087499721105,0.061661769424697414,0.06059437202877947,0.06250761344674767,0.0670437013803319,0.06637861841445376,0.06944406246406065,0.08305423520572267,0.08374013724707405,0.10692721511398069,0.10286964404423272,0.10832413012687263,0.11063803419940652,0.12573282457878698,0.13368204886054808,0.12589700302536058,0.1485606839392113,0.14824737676569047,0.16293002926759212,0.1795539552712737,0.1955263817649099,0.20403858648526849,0.21584517537301745,0.2315008273976801,0.280054287174129,0.31419332110107223,0.34906729788386176,0.4450797261780957,0.4625367701060479,0.5190362731224718,0.5814280797048799,0.6308156268875268,0.6632573945458019,0.6914651107827801,0.7100171631374486,0.7243822488698564,0.7444766695389772,0.7522827637401773,0.007724455378155914,0.07868389041840995,0.12098949789423342,,
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01287501,0.00905816,0.0104696,0.0110445,0.01142485,0.012258320000000001,0.013291639999998916,0.013611110000000034,0.012105550000000001,0.018572210000000002,0.015894440000000003,0.017113889999999996,0.018427770000000003,0.015969118188815173,0.0152827932,0.016569820519480517,0.015008253677419352,0.01678999442307692,0.020072528025477706,0.023600292013782755,0.031153326485672827,0.03883911609119052,0.040885250532721934,0.040403164914332566,0.04189600014664585,0.04213799130499538,0.04272906573381534,0.042252716954517724,0.03972774358947083,0.04101444158577873,0.04247087200862094,0.044288400924,0.044112278037529935,0.04230149560487444,0.04666388016973908,0.10011200700956246,0.00460198889055774,0.007504943225687624,,
Belgium,0,0,0,0,0,0,0,0,0.00116,0.00108,0.0008300000000000001,0.0005700000000000001,0.0024700000000000004,0.0026,0.00315,0.003,0.0029100000000000003,0.00046,0.00021999999999999998,0.00024,0.00053,0.00119,0.0014200000000000003,0.0018,0.0019100000000000002,0.0028200000000000005,0.002989999999999999,0.00267,0.0024500000000000004,0.0024500000000000004,0.0032100000000000006,0.0031400000000000004,0.0027500000000000003,0.0035899999999999994,0.00496,0.005680000000000001,0.005931233766233766,0.007116967741935483,0.008405192307692304,0.010105796178343946,0.01539683544303797,0.021410377358490558,0.02486249999999999,0.03163583850931676,0.03729611111111109,0.040647575705521445,0.04384694524390242,0.04823758963636358,0.04593336506024092,0.04098201197604787,0.05066941071428573,0.04933933136094676,0.05199300000000018,0.048949263157894905,0.04671937074969292,0.04735383902913431,0.010811066105692602,0.02278262932952768,0.0076159091815615485,,
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00015204968944099374,0.00007555555555555552,0.00032852760736196303,0.0005224390243902435,0.0006119999999999997,0.0010296439156626499,0.0018395913772455074,0.0024606133928571404,0.0032013575147928964,0.0035638289999999997,0.01424510526315789,0.016323120032773454,0.017444734243002313,0.06579324294365119,0.7118025819504452,0.0028056333850660403,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.00006,0.00018999999999999998,0.00006,0.00005,0.0001,0.00002,0.00005,0.00002,0.00001,0,0,0,0.00003898089171974522,0.00013556962025316452,0.00010584905660377353,0.00006693749999999997,0.00019956521739130425,0.00023611111111111096,0.00030975460122699373,0.0005131097560975606,0.000871636363636363,0.001152108433734939,0.0015116766467065856,0.0024224999999999976,0.0039019526627218893,0.0047304,0.005995631578947368,0.00864962228594838,0.009490750994409103,0.09424662347847401,0.433468228999629,0.0015263957288397293,,
