Exajoules,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,iii,jjj
Trinidad & Tobago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Venezuela,0.013689999999999999,0.013949999999999999,0.016360000000000003,0.027480000000000004,0.0319,0.04104,0.053899999999999997,0.060200000000000004,0.062250000000000014,0.07707,0.08931000000000001,0.10577999999999999,0.12163000000000002,0.12232000000000003,0.1424,0.14587,0.15088,0.15813999999999998,0.18062999999999999,0.20243000000000003,0.22648000000000001,0.25159,0.30843,0.3420300000000001,0.3466600000000001,0.36983000000000005,0.4454200000000001,0.47271,0.4747800000000001,0.5128400000000001,0.5145,0.53847,0.57268,0.5792300000000001,0.606,0.62886,0.6004852597402597,0.5876581935483871,0.5936792307692308,0.6828964968152864,0.7464898082278479,0.7834113849056602,0.7940166412499997,0.8240418447204964,0.8107041222222219,0.7195672601226988,0.7757725993902433,0.7579113709090903,0.7687328313253006,0.7214520772455085,0.6684363267857137,0.5585770539159759,0.5336661705300001,0.5098837882684211,0.43362784222859485,0.28106586132555816,-0.3535979600083531,-0.06065424343036452,0.007364952428807557,,
Central America,0.013560000000000003,0.014930000000000002,0.01686,0.01865,0.02065,0.023407,0.023249,0.024749,0.026368,0.029355000000000003,0.027535,0.029213000000000003,0.029274,0.039839000000000006,0.048552000000000005,0.055565,0.057702,0.05582300000000001,0.061957000000000005,0.06969500000000001,0.07979320000000001,0.0932351,0.09683975,0.10314301000000001,0.11134195,0.11642524000000001,0.11327269000000001,0.10786794000000002,0.12023550000000002,0.11615682000000002,0.11462188000000001,0.13225811715000002,0.12765683652999998,0.12849074204,0.14995346087,0.15365460538000003,0.1362252017542208,0.14275072585974194,0.14801642472230767,0.15626986189914266,0.1657634010532949,0.17323510740943387,0.17159164135992672,0.19103514116396564,0.17787551283258124,0.19932416703980288,0.1957169076660816,0.20739433603943067,0.20168174002545247,0.1973318885141468,0.20466433026166142,0.2071961523005193,0.2450652167990135,0.2411210268815852,0.19398346791267213,0.22211312415952816,0.14188214121315745,0.008706583623629971,0.005820175333759036,,
Other Caribbean,0.0036500000000000005,0.00413,0.00322,0.0033100000000000004,0.0035200000000000006,0.00419,0.009220000000000002,0.009289999999999998,0.008550000000000002,0.00829,0.007710000000000001,0.011659999999999998,0.008150000000000001,0.011430000000000003,0.01381,0.01054,0.01839,0.01217,0.013760000000000003,0.01634,0.016220000000000002,0.02055,0.022330000000000003,0.024650000000000005,0.01305,0.012560000000000003,0.01292,0.013150000000000004,0.01705,0.009370000000000002,0.011052000007629395,0.014684508424242423,0.01190061593086172,0.01771973216880393,0.02439964620984571,0.015506945036006975,0.013646488056112162,0.01705448640826988,0.021560937957961074,0.02231846233767513,0.0252136071982315,0.02421999100973055,0.02244394916122319,0.019812301752211686,0.020774599634671684,0.019405600943654594,0.02000322174841355,0.022077959428359002,0.022606015738124596,0.01626101996383517,0.012410280670133292,0.01733820833830015,0.024331130867906486,0.021801592032212675,0.014176800040013607,0.015668355032772557,0.10219127556751961,-0.03749154077713235,0.0004105681455222111,,
Other South America,0.01100488948679048,0.023360732649666344,0.024306617776639554,0.02571001079741345,0.026831954919234256,0.031176212084932695,0.03727174428170985,0.03360120149177865,0.03863174428170985,0.038458588279215764,0.03763589592438667,0.03607780847100475,0.039682149973416715,0.040305627330904134,0.03953545865747709,0.05997467406333758,0.051070861988,0.054128332026,0.06774018710400001,0.072401114559,0.100591510652,0.1878567625,0.24739092000000007,0.25563161,0.295900613496,0.34607358091871876,0.36854190576785945,0.36612910977185936,0.40553218148900005,0.45572356188814067,0.5081227054882812,0.5361104126117188,0.6052004803558595,0.6313979737557406,0.6072468606682813,0.6372841068,0.5771842569575876,0.6056969576977628,0.6241276369332466,0.5866424733295954,0.5895245579042321,0.5852953700348892,0.6262717370926216,0.6069039171219963,0.6019723034990874,0.62020803043944,0.6370243374260819,0.6459273755174985,0.6709434845647162,0.6273168014686498,0.6162201769205143,0.6749644160129395,0.6383745200012377,0.6256295197423326,0.5546193720322737,0.4865245359873205,-0.12517438365244793,-0.008159466804493865,0.012748720339407695,,
Total S. & Cent. America,0.4130243841454064,0.460012926332899,0.48660915516632836,0.5174701297012685,0.5585316897079012,0.65638061431438,0.730654828350451,0.8269404114313978,0.9300632319733031,1.068964273369787,1.1592238959243868,1.2942250084710047,1.4312342699734166,1.5819290273309043,1.797890458657477,2.0144598740633377,2.0444462619880004,2.201946692026,2.371094947104,2.616108314559,2.835012430652,3.0598613825,3.2645862700000006,3.3899786200000004,3.471363763496,3.609658497918719,3.85448114576786,3.9279107038223637,4.230630929963748,4.4844296756760205,4.656940700617123,4.85694592917065,5.139133379776317,5.266079670752424,5.272850514188234,5.556516252481258,5.180134590146022,5.403005654732335,5.596743354159986,5.7402760656369995,6.044004488925974,6.280545994323658,6.4617408998181,6.464955340585888,6.5877643878784555,6.578765941693284,6.942484997719638,6.7725488886606495,6.542640408675765,6.287576197798281,6.115413787200381,6.213786483556026,6.303958742221775,6.427284003191459,6.24778502150715,5.866003462358567,-0.06367198769540694,-0.005284690974778461,0.15371072190602858,,
Austria,0.16083000000000003,0.17331,0.17698000000000003,0.18184999999999998,0.16718,0.212897,0.168201,0.172876,0.19209200000000004,0.22712200000000007,0.237952,0.20565600000000003,0.24920800000000004,0.24940800000000002,0.280968,0.29109900000000005,0.308473,0.3089630000000001,0.30606300000000003,0.26849564000000004,0.30775146000000003,0.30903927000000003,0.35387991,0.35304088000000006,0.35082430000000003,0.31509,0.31443400000000005,0.34848400000000007,0.36705556,0.357075,0.37067222000000005,0.34216111,0.3610527800000001,0.3716333300000001,0.40699120800000005,0.41835650550450004,0.4019278371753584,0.3970794470837031,0.3257624219305241,0.35825664324840745,0.35921241554226613,0.34310572136821854,0.3543332055108202,0.3642492005889071,0.3862428651110307,0.3600983434834495,0.3194255961991761,0.4061835162017452,0.3875372696714173,0.3757227355212273,0.3374699905662141,0.3607243532838694,0.34464089700000006,0.33676025631578943,0.3606343010897174,0.36373625009895705,0.0058456284160679495,-0.006836715327407705,0.009531218647392757,,
Belgium,0.00272,0.002989999999999999,0.00238,0.00244,0.0023,0.00246,0.00134,0.0017999999999999986,0.0017100000000000014,0.002400000000000001,0.0018299999999999996,0.0010900000000000003,0.0022400000000000002,0.00223,0.002340000000000001,0.0027799999999999978,0.0038099999999999983,0.0033300000000000014,0.00336,0.003510000000000001,0.0028699999999999993,0.0034300000000000025,0.004290000000000002,0.0035899999999999994,0.0030499999999999998,0.0026600000000000026,0.0022899999999999986,0.003409999999999998,0.002539999999999999,0.0034599999999999995,0.0033799999999999993,0.0023900000000000015,0.0030500000000000006,0.003890000000000001,0.00341,0.0046,0.004381363636363638,0.0035535483870967714,0.0024225000000000028,0.003089235668789811,0.0027888607594936717,0.0034545283018867917,0.003719812499999999,0.0038962732919254686,0.003097777777777779,0.0029285889570552105,0.00182853658536585,0.0033103636363636356,0.003502409638554211,0.002704526946107781,0.0028997142857142937,0.003349704142011833,0.00243090000000001,0.0028050000000000106,0.002692142564522739,0.002503969341330882,-0.07243846297353074,-0.013936735795528232,0.0000656131448875381,,
Bulgaria,0.02,0.020100000000000003,0.020220000000000002,0.01305,0.01839,0.021520000000000004,0.0217,0.020950000000000003,0.0257,0.0208,0.02453,0.029540000000000004,0.03529,0.029090000000000005,0.03311,0.03713000000000001,0.03618,0.030500000000000006,0.03353000000000001,0.032600000000000004,0.022370000000000004,0.023260000000000006,0.025369999999999997,0.025960000000000004,0.026909999999999996,0.01878,0.024409999999999998,0.02063,0.019420000000000003,0.014680000000000002,0.02314,0.02919,0.027540000000000005,0.03097,0.027530000000000002,0.026730000000000004,0.017257207792207796,0.021656903225806455,0.02970749999999999,0.030872866242038208,0.04199753164556961,0.04078075471698111,0.02748262499999999,0.026836770186335387,0.0327722222222222,0.04746754601226992,0.027213475609756087,0.02991381818181816,0.0376048192771084,0.042189520958083794,0.05155553571428567,0.03568792899408281,0.025452927000000004,0.04604832947368421,0.026438266284309706,0.026210771078943488,-0.011313500317330694,-0.02124789717351583,0.0006868179621970686,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,0.03805,0.05881000000000001,0.04349000000000001,0.0455,0.05435,0.05683,0.07863,0.05852999999999999,0.06022,0.07327,0.06452999999999999,0.0713437012987013,0.0577550322580645,0.053530384615384605,0.0743268152866242,0.06813341772151896,0.06367301886792451,0.04494374999999997,0.054937453416149036,0.06997388888888885,0.08566122699386497,0.046954207317073136,0.04485218181818178,0.07946783132530114,0.08251922155688617,0.05820374999999994,0.06204195266272183,0.047766600000000006,0.0689027894736842,0.05193606554690701,0.050333493223551795,-0.03350456971586435,-0.029370909039431292,0.001318921413717267,,
