Million tonnes,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,iii,jjj
Canada,43.87417766603813,48.21215415141543,52.70113999088007,57.119336169376794,62.21804330107513,70.06788911949293,75.1637731867891,86.71314728535015,100.3146117675754,94.3865477857137,81.5758003986795,75.30462587789414,75.57432145480311,75.18987498636517,86.27456744266982,83.26948491542362,75.36160289983513,74.56414011761726,78.56049301133626,83.8156694179121,85.68522741449189,85.7360209382032,90.29438627437248,95.09496755509481,92.62048090262775,92.7578503182828,93.21450828672137,97.15977824610282,102.2811448725461,106.69214625622024,111.90632276476946,115.45352734672798,120.70414179946053,125.08790392752616,120.99674926592536,125.08584994877907,126.17001862244393,133.0024956346554,140.62878237960774,145.15822210457688,142.67888058675348,150.99839370176966,155.67229095076164,153.23999463632188,153.15251220457202,160.6303789677517,170.13081963427987,182.91294336076422,195.4096225895962,209.77701033853953,216.0744239957687,218.84494084655083,236.62385391120117,257.7450672560028,263.46216233794104,252.18680049080436,-0.045412201566191635,0.055745922301329465,0.06054713611948369,,
Mexico,18.053894057433876,18.489541890426842,20.463760935884828,21.90066560774525,22.965008950407174,24.17900688298918,24.10731916395633,25.097617426820964,25.85938910319441,32.41619267327231,40.15469329097647,44.773750850918994,54.365702291808475,66.69230895292843,80.65991100017648,107.18790257923,127.99533948516248,151.01307894007007,147.12454932808913,148.31125028363965,145.85386380253635,136.88176386052493,143.0352204825656,142.69090840329775,143.06522073468975,145.16869884556155,152.8172961019226,153.03168859340352,153.27678807220957,154.17297446599565,150.21331468282958,162.3596822542159,169.61947710434484,173.47418314327987,165.4921913523354,170.32185178933867,175.86720718074753,177.8208610899376,188.20013108482374,190.04268457313566,186.49137726234517,182.54516868217698,172.23128078250082,156.89626169038806,146.66416283951025,145.60051915042132,144.51853122700004,143.85727785851543,141.84564572686818,137.09767748911244,127.51507621720542,121.35055869793364,109.47169105423364,102.29067233497828,94.91841247796071,95.05307020585144,-0.0013174484374230966,-0.042579668411590665,0.02282114356948028,,
US,427.69444187422283,454.53886083980245,484.22163039515146,502.88033200207656,511.3517235871494,533.4898489719784,525.8878497989834,527.8878894686644,514.6522866206279,491.40630301585196,469.77040174938725,457.97983431165414,462.80377728814784,484.2056593041085,476.99132891861535,480.19339543879556,478.79670029216817,480.72324889833266,482.9626485409699,496.1365819435222,498.7051348078572,482.3294815704644,467.2602894034698,459.0619621895713,429.0330896968453,416.6172508602059,422.89670770503085,413.0318660734767,397.0064952190658,387.49936297069866,383.55375478998894,382.0579527291166,379.9500640355431,368.12954108464425,352.6259645896968,347.5808855470317,344.50859540087646,341.90467522057367,332.5542907616807,325.3569839525889,308.9881844768027,304.5031810327132,304.97655002943407,302.2221406917139,322.58634713817224,333.1451106190818,346.0751910278871,395.11880749861996,448.5131259026871,524.5263991195158,567.3932798662171,542.9494635293571,574.8576091549033,670.2398982782134,747.8432297594164,712.7285316123198,-0.04955857375857686,0.0877183578644567,0.17111788299699054,,
Total North America,489.6225135976948,521.2405568816447,557.3865313219163,581.9003337791986,596.5347758386317,627.7367449744605,625.1589421497289,639.6986541808355,640.8262874913978,618.2090434748379,591.5008954390432,578.0582110404673,592.7438010347594,626.0878432434022,643.9258073614617,670.6507829334491,682.1536426771657,706.3004679560199,708.6476908803953,728.2635016450739,730.2442260248854,704.9472663691924,700.5898961604079,696.8478381479639,664.7187913341628,654.5438000240503,668.9285120936748,663.2233329129831,652.5644281638215,648.3644836929145,645.6733922375879,659.8711623300605,670.2736829393484,666.6916281554502,639.1149052079576,642.9885872851494,646.5458212040679,652.7280319451667,661.3832042261122,660.5578906303015,638.1584423259014,638.0467434166599,632.8801217626965,612.3583970184238,622.4030221822545,639.3760087372548,660.7245418891671,721.8890287178996,785.7683942191514,871.4010869471678,910.9827800791912,883.1449630738416,920.9531541203381,1030.2756378691945,1106.2238045753181,1059.9684023089756,-0.044431778265801136,0.059197947909188864,0.25448616268595453,,
Argentina,13.764758620689655,14.643965517241378,15.962275862068966,17.48758620689655,18.106758620689657,20.00051724137931,21.570862068965518,22.21803448275862,21.601172413793105,21.144758620689654,20.260551724137933,20.41413793103448,22.061965517241383,23.209862068965517,24.27810344827586,25.267034482758618,25.736379310344827,25.571310344827587,25.667310344827587,25.141758620689654,24.158620689655173,22.868655172413796,22.57258620689655,23.719758620689657,24.229965517241382,25.43655172413793,25.882,29.04044827586207,31.067827586206896,34.510999999999996,37.456931034482764,40.815999999999995,43.385586206896555,44.02806896551724,41.68886435423841,41.347472470874436,43.92917095181867,43.27405411445478,43.094021579079595,41.02583572363434,39.36907666188509,39.43316778169774,38.214468714503084,37.80479419633343,34.043661370416515,33.27852624833703,31.185337295536616,30.840746719979396,30.185947770314694,29.78630492572796,30.045688435394574,28.630796661296593,27.240149041514993,27.542351140786987,28.83483423119775,27.642835179575595,-0.04395814845108781,-0.01646884901652601,0.006636725241324614,,
Brazil,5.045191279069767,6.159290116279069,7.75085988372093,8.516862558139534,9.289377325581397,8.792737108982042,9.203948290595592,9.028128802452084,9.155847393414701,9.553835165876578,9.310971703441744,9.067629127991264,8.737729016279758,8.688321486313429,9.0005870313537,9.880955109173799,11.54008833940406,14.06219834533911,17.828963160767586,24.9559813815852,29.47046180685475,30.986360499261863,30.826442576756442,30.124096672117584,32.172448131340026,34.127761948563574,33.73005738485976,34.24078598974618,34.94626942865123,36.24005141553211,37.503994192804306,42.53331285422092,45.59616962733032,52.67921048719173,59.49658026454502,67.08903453231575,70.22711259832587,78.60667254219113,81.51497595352441,80.90411730174893,88.9814170275368,94.03551069602236,95.01053917162139,98.78884184871052,105.68377928170742,111.26781078393256,113.84741267069295,111.94805242605806,109.71351404807771,122.45476932849766,132.19257148660137,136.19999196797366,142.3166055073297,140.22326358652322,150.77442330460204,159.19088529938975,0.05293679157121378,0.0361721949133571,0.038219891693160694,,
Colombia,10.654545603821466,10.443867393143256,10.075180524456387,9.25776211374832,11.233910683186545,11.759925138080312,11.675790068169379,10.577425496342737,9.947956311887346,9.073777951933124,8.499447355326668,7.941781131512167,7.467260337363785,7.098573468676917,6.677217047320497,6.801138498283326,7.256582126685577,7.6464730308006175,8.204634074737523,9.019320316465144,9.521372891476341,16.05239742250087,20.361039259590985,19.994312106284518,21.36176076031249,23.373465243568695,22.578194954470817,23.268770980743394,24.03173839379012,24.12090794645967,31.015584863412453,33.360582206299455,34.83770351296213,40.408859954222024,43.705837736975674,36.28311688311688,31.81240981240981,30.443001443001446,28.494227994227998,27.9010303030303,27.712707647907646,27.778381673881675,27.972479365079366,31.036497402597405,35.32037243867244,41.391136940836944,48.20658311688312,49.86257388167388,53.189490471774896,52.16282159649166,52.963155699855704,46.78770947763348,44.98190211226551,45.58449622653811,46.656255394949504,41.26624526262627,-0.11794258647073397,0.028225713917509943,0.00990754854811419,,
Ecuador,0.42878120411160064,0.37518355359765054,0.3215859030837005,0.26872246696035246,0.21439060205580032,0.21439060205580032,0.21439060205580032,4.192070484581498,11.201908957415567,9.486784140969164,8.629221732745963,10.103964757709251,9.839835561294244,10.889656438300674,11.532828244468075,11.026980100258243,11.372035292926224,11.372035292926224,12.819171856802877,13.943589974175909,15.223301863385489,15.866473669552889,9.388922223910072,16.501132887741154,15.240399513899439,15.522755633196619,16.3045882576333,17.455699954428074,18.72581591472986,20.601733682718113,20.999049369588334,20.926899255658512,21.084112537343664,20.440940731176266,20.333745430148362,21.592452529241992,21.908640310901816,21.07321003595119,22.466748949313892,28.33270697250494,28.5768811079042,28.774099958124463,27.456051034482762,27.188947794825054,26.114913413337387,26.11605272317586,26.809280549546816,27.098113548954377,28.24277970079498,29.829981578267255,29.10860853450807,29.47304122613804,28.477105596182085,27.72282984772394,28.460511480029375,25.763542077826727,-0.09723513210976431,0.008638197564685424,0.0061855286877439105,,
Peru,3.39416508805683,3.39416508805683,3.811904716096887,3.9794298357259135,3.864122169601894,3.8626915544373737,3.2992959893443836,3.4506982191307776,3.754088550145528,4.093859651719205,3.798016452074392,4.0373153075822605,4.796299713876967,7.915040772532189,10.043980400572245,10.244848927038626,10.11249356223176,10.222031044349071,8.934808440629471,9.675212160228899,9.877379685264662,9.306931616595136,8.581585979971388,7.435283261802575,6.845727467811159,6.767501430615165,6.030534334763949,6.087773104434907,6.630477110157368,6.684225321888412,6.394597281831187,6.318316738197425,6.242087262591881,6.029669809086872,5.514563027217162,5.161024457366725,5.0374967376320505,4.8976816215282915,4.731678234279446,4.68982833029165,5.3218443655917245,5.540086126754362,5.485223882309264,5.7012475615174,6.893061577279934,7.277447406050808,6.967823893306708,6.865127182907558,7.314464689006167,7.541427224434436,6.535412008251483,5.8488129093605306,5.693445929630869,5.8578061560635275,6.105301899285932,5.393094927210162,-0.11906736408929264,-0.012062436399757015,0.0012948197606995587,,
Trinidad & Tobago,6.67145979020979,7.562911621960129,8.850564267821731,9.485210312075983,7.775440976933514,6.933514246947083,6.388738127544098,7.002170963364994,8.221166892808684,9.261194029850747,10.697421981004071,10.5280868385346,11.341248303934872,11.390773405698779,10.598371777476256,10.5280868385346,9.360244233378562,8.765943012211668,7.924016282225238,8.442333785617368,8.635691994572591,8.297985828433589,7.613603949947234,7.444814111261872,7.3433619779888435,7.374947987336047,7.244308599775017,6.9489840482900185,6.452685827853738,6.763483355367684,6.7357926857553725,6.675649166753644,6.437474848948729,6.396919293393173,6.644541627526701,6.5723261062418885,6.325405441178017,7.278910814346515,7.668948222300319,7.122356541621346,8.108978298903846,8.181430377646217,7.192500701891024,6.886173547871225,6.802195361340072,6.231785932030466,5.876618874204377,5.182263171131504,5.108392379703778,5.054162689727166,4.824142282860525,4.3313454109723,4.379926799683208,3.900725672662537,3.660320988101688,3.4338385495004706,-0.06443820416502877,-0.06008840518488934,0.0008244249487455492,,
