Exajoules,Oil,Natural Gas,Coal,Nuclear energy,Hydro electric,Renew- ables,Total,Oil_2,Natural Gas_2,Coal_2,Nuclear energy_2,Hydro electric_2,Renew- ables_2,Total_2,p,q
Canada,4.780727721187058,4.2423921,0.63469215306,0.8958412257961577,3.384512837146558,0.5131182027694835,14.451284239959257,4.2605972513659225,4.05486391736258,0.49524653923337414,0.866210253404941,3.416514826404642,0.5357989175991988,13.629231705370657,,
Mexico,3.236313016635587,3.1670386727553566,0.5414934050000001,0.10196198058310477,0.21045116317077342,0.29598285023484516,7.553241088379666,2.464799096018521,3.1065629291501726,0.20884674463499225,0.10142153048362917,0.23835524181263995,0.3558815231059715,6.475867065205925,,
US,37.13199437859071,30.572556012093447,11.341655494096226,7.595138119028009,2.5447670465904437,5.709858287981747,94.89596933838058,32.54030692546001,29.952700042615085,9.20277684698986,7.385018006685286,2.563917695551433,6.149877871917506,87.79459738921919,,
Total North America,45.14903511641335,37.9819867848488,12.517841052156227,8.592941325407272,6.139731046907775,6.5189593409860755,116.9004946667195,39.265703272844455,37.11412688912784,9.906870130858227,8.352649790573855,6.218787763768715,7.041558312622676,107.89969615979578,,
Argentina,1.1477201991395518,1.6761410221073887,0.029246265054720003,0.0752641048750512,0.33042740122354275,0.12191034814950855,3.380709340549763,1.0347996882315504,1.5814749450906587,0.03189681431452715,0.09469973276786085,0.2712769657690634,0.13445365789344732,3.1486018040671078,,
Brazil,4.810174447206822,1.2864005574134332,0.6481235264519214,0.1437784583434033,3.546827018535068,1.9860790498187906,12.42138305776944,4.60679019954618,1.1562541146893626,0.5789682591013453,0.13585162181067176,3.524218514285714,2.005916377439578,12.007999086872852,,
Chile,0.760516181415949,0.23447013656400004,0.313504485768,0,0.1911272098671118,0.18490203188420484,1.6845200454992657,0.6930262018919959,0.22039214152869158,0.3004914095167834,0,0.18347080281709077,0.2094179569197148,1.6067985126742765,,
Colombia,0.6802824397597651,0.4840719716221838,0.2035329460660708,0,0.4826651047834585,0.058253831059898675,1.9088062932913767,0.552612308620903,0.5013338177953933,0.2681321551244719,0,0.3907331030820835,0.05455471397926663,1.7673660986021185,,
Ecuador,0.49446117877871315,0.022753832901432472,0,0,0.21986660168900377,0.007181416913157367,0.7442630302823067,0.3976592412034219,0.019649377780794557,0,0,0.21998023255249707,0.007876542419860005,0.6451653939565736,,
Peru,0.5359021904161464,0.2956056282320594,0.03160020954111764,0,0.2804642031954117,0.0422407898798388,1.1858130212645739,0.4037810705569544,0.253809434527002,0.023190115896750223,0,0.27095196734693877,0.045302239924485205,0.9970348282521305,,
Trinidad & Tobago,0.08169415779398564,0.6290393775894674,0,0,0,0.000041630070680284636,0.7107751654541332,0.07931258372294313,0.5443694939941895,0,0,0,0.00004148610612244899,0.6237235638232551,,
Venezuela,0.5940931584739232,0.9207438713884218,0.0008391938184,0,0.43362784222859485,0.00011206707025096556,1.949416132979591,0.4847694261438853,0.6750522034768476,0.00054594830299573,0,0.28106586132555816,0.00011165539529902324,1.4415450946445858,,
Other S. & Cent. America,2.7350586598975752,0.3295568984602099,0.2267445892288986,0,0.7627796399849595,0.29243447090454683,4.34657425847619,2.365849552828057,0.2910296451884017,0.27643582586902277,0,0.7243060151796212,0.29416983482442416,3.951790873889527,,
Total S. & Cent. America,11.839902612882431,5.878783296278596,1.4535912159291287,0.2190425632184545,6.24778502150715,2.693155635750876,28.332260345566638,10.618600272745887,5.24336517407134,1.4796605281258968,0.2305513545785326,5.8660034623585675,2.7518444649021974,26.19002525678243,,
Austria,0.5523240408299445,0.3204158773352401,0.11890078126665045,0,0.3606343010897174,0.14519649610303162,1.497471496624584,0.4798655955728751,0.30699068520492,0.09328211922,0,0.36373625009895705,0.13982100580688742,1.3836956559036395,,
Belgium,1.3299502105599998,0.625806,0.13016782134000002,0.3879858811962324,0.002692142564522739,0.19078825189356868,2.6673903075543235,0.930792256925195,0.61193448,0.10757010435175071,0.30513513760557465,0.002503969341330882,0.23290352902355554,2.190839477247407,,
Czech Republic,0.423372691,0.2996981999999999,0.602049405204,0.2696261007783695,0.017900073740270382,0.08569132208111431,1.6983377928037542,0.3711608062282431,0.3046455,0.48907709128711135,0.26683355428571426,0.019027121632653063,0.08683793224489797,1.5375820056786198,,
