Million tonnes,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,iii,jjj
Trinidad & Tobago,1.901159506235679,1.9145071804549831,1.997115605810363,2.035276120478914,2.133346098369049,2.188210282897409,2.2609999999999997,3.7319999999999998,3.7509999999999994,3.7,2.822,3.181,3.101,2.773,2.1229999999999993,1.67,1.6540000000000001,1.836,1.5840000000000003,1.3499999999999999,1.438,1.558,1.0210000000000001,0.92,0.8260000000000001,1.265,1.181,1.7089999999999999,1.486,1.1179999999999999,1.283,1.4930000000000003,0.8480000000000001,0.98,1.7739999999999998,1.740629145301787,1.6110136496635539,1.8383946936344926,1.747165575678509,1.9204605561933854,1.682839055766986,1.8394357400753794,2.1062441373146568,2.2434989588764784,2.1457638149556506,2.228457252891236,2.0881807025743306,1.9917323099138404,2.248100200451115,2.010130318305216,2.19679793853709,2.327755884238252,2.1637689156646647,2.043195176139408,1.9099774032613333,1.850636386474637,-0.03371631530631669,-0.011572929327223092,0.0004618811245469484,,
Venezuela,9.555840083954967,9.371909709068932,9.542232919857067,10.407950950614623,10.27255869440908,10.740534863172124,10.812064964417088,11.806636512942305,12.907470824381395,12.893256551369435,13.800215029182768,13.586573569905648,15.282838988093989,15.895743784676384,17.02083236276549,20.750937812901682,22.017048380711216,21.702067785497906,21.20593999639867,19.89733687874927,20.42737642224981,21.331688729494147,20.19854540384785,20.89259291477226,20.436776338377292,20.633621637888297,19.476025090764075,23.43207444572577,21.001273887641894,23.653096345102295,22.614238973788012,18.152918280060344,19.66548733866003,22.11038152045434,26.280831848455097,27.0502181976994,28.93599913609054,31.14781871669817,29.48563383897323,29.99227214248977,31.350338360563953,30.432576800487066,32.8798080854975,32.4144491411569,33.01719078028129,34.937569827706625,33.622362899615915,36.77811520760504,39.76866160312033,35.11745593593083,33.03154122838814,24.910879315981205,23.05574236136472,18.959301962076577,13.739332794396645,11.239684116216218,-0.18416892839626142,-0.08394288463274435,0.0028051960812462765,,
Central America,3.942268570676723,3.9798147327314264,4.186164248866772,4.269581173832077,4.534484922908627,4.690390138101146,4.913058090502218,5.354824022160639,5.6212187111814895,5.741747760722939,6.367980907292589,6.527993016044046,6.607921908411994,6.695678473063009,6.700639714454915,6.28766609455723,6.245001214881046,6.25307427272209,6.167330666899444,6.025713779040769,6.020153168771744,6.003982858230981,6.45513359243679,6.2523065592966125,6.538273857465867,6.749546128370548,7.362582965545156,8.372907602459101,8.92921072794906,9.764510023504426,10.814812259190102,10.572648186671447,11.459179030411356,13.130995526165156,12.944129176995315,13.350225887473481,14.308626656940913,14.278424106456388,14.93707163284537,15.300774114788197,15.180132183987444,16.070680952622386,16.97837075116759,17.040687084168148,16.831665998216234,16.99373473294412,18.113030501922168,18.211840061788024,18.15915255320773,18.761590531689396,20.375539654184287,21.08843504842913,21.459177026691687,21.1467178830379,22.86221944593203,19.83909840342,-0.13460312707978062,0.031096062624636822,0.004951434624078046,,
Other Caribbean,17.763987673205737,18.407558560422814,19.19300320600284,19.614042633672213,20.08625057093546,23.057483000551244,23.504105123009687,25.17774684110932,27.241626141248908,27.03939007695749,26.27296388605291,26.660455485646622,27.983151601275694,28.67691109732986,29.551105344608843,33.41043553212495,33.75029270306307,29.265445851906467,27.89931852484266,29.662138634352733,27.559334913896894,27.012306272113996,27.943309985966867,28.146739234953547,29.704914527867796,29.18442223086827,28.51590013827021,27.15102448794079,27.40654802468294,29.028579746015236,29.080183629754156,30.146474527635306,32.02871253157392,33.02434278930623,31.651575102498388,35.94105888881431,36.36504253341619,36.6578721822235,36.15264100927242,36.2959167870637,36.56934389200472,37.03552921409155,35.570230450566385,34.31428518261728,31.952770923204916,31.468769373179192,31.75147446701168,30.91892526876541,29.40785577400196,28.90202991115982,30.089685073259577,31.11751550269654,30.21181496016837,30.83087446357505,30.088688190744143,26.02450977796954,-0.13743648790974172,-0.005992931358893894,0.00649518723930935,,
Other South America,2.276118815383049,2.360797200003629,2.533454777433318,2.619267615654543,2.8097856234849945,2.9218771816977225,3.151382862106578,3.6662196956728406,3.7065100560950275,3.2893497458118306,3.7710025486319507,3.8467088823268805,4.057395257982551,4.613408486479095,4.863288032498369,4.737182565332042,4.5531200464089645,4.2828344598763906,3.7159403176744163,3.7078447080382855,3.8912163895525116,3.861501931718595,3.9529092410841233,4.39307462364498,4.399337590453244,4.136252861333678,4.30537169899153,4.500848279913379,4.69668956188752,5.179098818878114,5.916982113877292,6.108697755706347,6.201904641997285,6.336987358500302,6.86510681280612,5.826482848648391,5.6844682684173256,5.627599425494319,5.992997124807519,6.5050803859154405,6.342969824281515,6.323085772539354,6.850420402964745,7.5747395750603275,8.096054406348365,8.66242015530263,8.7608623615721,9.08251129098633,9.05695132678213,9.037566969908653,9.38768568482347,9.809084348994052,10.14355630486423,10.614699717327996,10.636459762423465,9.172915871129124,-0.1399531927176605,0.027666899373389064,0.002289372849737674,,
Total S. & Cent. America,85.4337441477897,89.91802707074355,92.71277736034402,98.9561850723583,102.74845347938248,108.1057232898047,113.95061104003555,123.40542707188511,134.7388257329068,138.83974413486163,138.58016237116018,144.5707309539232,150.71930775576422,156.39674184154836,163.48286545432757,166.93074139870174,165.0008679816887,159.24862975042095,153.23139841401834,152.94339329882553,151.69857496239277,158.8935955719332,162.84033079306207,166.76366365980905,166.8645281713483,165.2410463147975,166.78439306109397,178.7616548427478,180.7686556372792,193.55741808416786,199.71599148181633,203.21425531458877,216.23335593060153,225.48939121705993,228.71726373339766,228.73829339441858,230.72490931411832,230.74414467097915,227.1109571214483,234.74997645737506,240.51739809302134,245.21550808812796,258.6549488626553,265.1835585417389,261.2267578288953,274.73893565398623,285.4661271746303,294.2510651386706,305.07937267727516,304.72328117851,299.66514523565013,287.6602809937416,285.5769332745649,278.8706255897378,274.17718900752953,246.07074023025973,-0.10496414128506548,0.004850298653331198,0.06141424163401428,,
Austria,5.561,6.116,6.513,7.536,8.278,9.097,10.156,10.957,11.866000000000001,10.613000000000001,10.713000000000001,11.65,11.141000000000002,12.000000000000002,12.504,12.188,11.046000000000001,10.469000000000001,10.109000000000002,9.82,9.834999999999999,10.377,10.67,10.561,10.381,10.790821538562462,11.622032315466553,11.31617528885457,11.407855855981907,11.255847495529688,11.241231884424206,11.6254778322166,11.840170355100469,12.298829313364767,12.071142835853468,11.782740343318286,12.799906384133822,13.056142057580256,14.15527889740073,13.767817635475467,13.709617528076175,13.693003777343751,12.86062618359375,12.751910244628906,12.110792055175782,12.668996968750003,11.803940548339845,11.781301726894043,12.160188861816408,11.663756667480472,11.610152184570314,12.00594499560547,12.173350319763182,12.273552558593748,12.733724570620371,11.076162888117763,-0.13254758364479446,0.005028298819129251,0.0027643845154122727,,
Belgium,15.94,16.257,17.940999999999995,20.854000000000003,24.052999999999997,26.211000000000006,26.855000000000004,29.075,30.561000000000003,26.875000000000004,25.404,26.486,26.055,27.798,27.638,25.567,23.429,22.176999999999996,20.077000000000005,19.392999999999997,19.663999999999998,22.264999999999997,22.43,23.125000000000004,22.699,23.457498929739,25.18669955444336,25.68209921717644,25.25289926838875,27.355500896453854,27.192400310516355,29.52150026607514,30.253499662518507,30.658101560711863,29.62280055236817,30.184001486778264,30.598101767539976,30.791299601554872,32.58479945349693,32.92160015523434,32.74240018796921,32.73220041227341,33.08999855375289,34.60129864382744,31.005468574285505,32.10653071188926,30.04118102061748,28.83558858275414,29.634520548343655,29.089707906484605,29.96525154006482,30.47752059960365,31.06875180745125,32.883182832479484,30.763345,21.25783754594747,-0.31087610847916936,-0.0007836638450670064,0.0053055229989627814,,
Bulgaria,3.702,4.226000000000001,5.316000000000001,6.300000000000001,7.736,8.986,9.889000000000001,10.282,10.849,11.283999999999999,11.965000000000002,12.431000000000003,12.927,13.315,13.726000000000003,13.972000000000001,12.457,12.064000000000002,11.634,11.167000000000002,10.362000000000002,10.921000000000001,10.491,11.129999999999999,10.844999999999999,9.944999763488768,6.640000301361084,5.868999206542969,6.355999145507813,6.0320000610351565,6.221000854492187,5.702998336791992,4.505998870849609,4.729998893737793,4.297998489379883,4.25099900817871,4.391999755859375,4.578999771118164,4.886000488281249,4.746999328613281,5.226999603271486,5.2802104339599625,5.208154758453368,4.966115748405457,4.479995109558105,4.0766992835998535,3.839235736846924,4.001078229904175,3.71471635055542,4.005831518173219,4.485717267990111,4.535851644515991,4.766900737731933,4.744323205749511,4.953772,4.482093051579519,-0.09768820694596225,0.010103433664303108,0.0011186390768697793,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,4.577999999999999,3.242,3.242,3.427,3.5309999999999997,3.919,3.7129999999999996,3.984,4.493,4.432,3.936,4.043,4.236999999999999,4.694000000000001,4.4131,4.5586,4.636000000000001,4.74260510638298,4.4851053590568055,4.373840671356011,3.6983999999999995,3.5082000000000004,3.152200000000001,3.0367,3.1881000000000004,3.3121800000000006,3.3245,3.5595,3.4457999999999998,3.3436999999999992,3.0298848509882736,-0.0963284753182192,-0.026498926745950224,0.0007561975072197181,,
