Million tonnes ,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_2,2009-19,2020_3,ss,tt
Canada,40.088,42.907000000000004,44.807,57.402,60.853,57.04800000000001,61.207,70.643,70.527,68.33200000000001,71.13419999999999,65.6134,69.0294,72.8233,74.9802,75.87939999999999,78.76,75.2681,72.3577,69.10430000000001,70.4815,66.9982,62.5796,66.2064,68.4309,67.41080000000001,68.9543,68.39580000000001,64.6377,67.9737,67.45410000000001,67.3005,68.41810000000001,68.30510000000001,62.35519999999999,62.3515,60.59609999999999,55.04750000000001,50.57749999999999,39.550255641782975,-0.22016321814999662,-0.024230708189013517,0.005108790549546904,,
Mexico,3.032331474945327,3.751215811153323,4.851129006908334,5.33524105286355,5.525976201696671,6.216795122477865,6.931470799841482,6.345855589109737,6.77053393159806,6.9298120756321495,6.405623111272383,6.104177561239014,6.615141667372344,8.999131458916555,8.889171051344901,9.69048626288869,9.424212150627278,10.107467451546736,10.325802649610297,11.343948128892904,8.857092656903497,7.079758976309309,9.195092268783425,12.228484391317862,12.657043477938855,14.109923394653727,15.232169770897677,14.420357004375052,12.694348969055104,15.270514706066125,19.616056277021872,15.205109976286108,14.63316997717811,14.895549976768889,12.252899980890374,11.408949982206602,12.928589979836579,11.883979999999998,9.75542,6.545966025033829,-0.3308252364367741,-0.025989690153939704,0.000845556338984016,,
US,747.3160762424999,760.3223832863999,709.5009892077,812.7656122346649,801.6229800792097,807.6798812825674,833.4869763053214,862.0661211428467,889.7021531375128,933.5615732388368,903.5413382898205,904.9575007801251,857.6744472676241,937.5792819939171,937.0982082977998,965.1138862031999,988.7696344403998,1013.8106537145001,998.2941666057,973.9643801364001,1023.0222071583,992.7167950700998,972.2779237790998,1008.8791976853,1026.4776736806,1054.829009925,1040.2097284845,1063.0471961223,975.1540548945021,983.7221930329357,993.9365375578993,922.1155249958045,893.4333938295812,907.2289325116026,813.6907555629862,660.7611286087806,702.7137571472379,685.9832192274465,640.7529568618761,484.71088715694987,-0.24559608302372626,-0.04112556732659001,0.06261113510866517,,
Total North America,790.4364077174453,806.9805990975533,759.1591182146083,875.5028532875284,868.0019562809064,870.9446764050452,901.6254471051628,939.0549767319565,966.9996870691109,1008.823385314469,981.0811614010929,976.675078341364,933.3189889349965,1019.4017134528336,1020.9675793491447,1050.6837724660886,1076.953846591027,1099.1862211660468,1080.9776692553103,1054.412628265293,1102.3607998152036,1066.794754046409,1044.0526160478832,1087.314082076618,1107.5656171585388,1136.3497333196538,1124.3961982553976,1145.863353126675,1052.4861038635572,1066.9664077390019,1081.0066938349212,1004.6211349720907,976.4846638067593,990.4295824883715,888.2988555438765,734.5215785909872,776.2384471270744,752.9146992274465,701.085876861876,530.8071088237666,-0.24494725447022803,-0.03981374496132184,0.06856548199719609,,
Brazil,5.689,6.346000000000001,6.737,7.518999999999999,7.712,7.391,6.884,7.331000000000001,6.671000000000001,4.1166659999999995,4.910049,4.629000000000001,4.550757,5.140475000000001,5.101425000000001,4.761189,5.632599999999999,5.570416000000001,5.719608000000001,6.696842,5.6455779999999995,7.595625,6.809558000000002,7.807510000000001,8.017757,8.12221,8.34144,8.791571999999999,8.319929000000002,7.707462,7.564836000000001,8.174374,9.468086,9.351638000000001,8.049604,7.500464,5.841825,6.432748999999999,5.843574000000001,6.184933999999999,0.05552445698882935,-0.03471425485756108,0.0007989210652633563,,
Colombia,3.9904,4.421600000000001,5.053200000000001,6.6370000000000005,8.974,10.737,14.594,15.101,18.901999999999997,20.468,20.031,21.900000000000002,21.713,22.665,25.740000000000002,29.564,32.742,33.561,32.754,38.242000000000004,43.911492,39.48446487999999,50.02809337,53.887595999999995,59.675097,66.19187,69.90221,73.50209,72.807412,74.35013326,85.80322912000001,89.02433,85.49606200000001,88.57797000000002,85.54751382,90.51198929,90.54904608999999,84.28389173000001,84.34278586849,50.605671519999994,-0.4016393442752306,0.01481583389963248,0.006536842106823758,,
Venezuela,0.049999999999999996,0.049999999999999996,0.04,0.049999999999999996,0.04,0.06,0.24,1.07,2.11,2.15,2.4,2.48,3.96,4.44,4.35,4.18,5.29,6.46,6.59,7.88,7.690000000000001,8.1,7.03,8.107304,7.195,7.163589999999999,6.855341,5.053704,3.278307,2.6308199999999995,2.611436,1.910801,1.229309,0.80064,0.801697,0.43101675,0.351786,0.0758934,0.24645280000000003,0.6966225811941275,1.8188733940468564,-0.22801579693427787,0.00008998421885409308,,
Other S. & Cent. America,1.6829516129032258,1.5657526881720432,1.5621908602150536,1.7910322580645162,1.8145053763440857,1.9629331182795697,2.2275376559139786,3.11251847311828,3.052090580645161,3.1154335268817204,3.1034944946236562,2.4124367956989246,2.0468386451612903,2.0747630430107527,1.8430223548387097,1.772539677419355,1.6828259139784947,0.5384683870967742,0.8620112903225807,0.7774064516129033,0.7735306779661018,0.5702401694915255,0.45311050847457623,0.30894809677419355,0.7991975483870968,0.8647059677419355,0.504419,0.7661300000000001,0.8571939999999999,0.770183,0.903516,0.997383,3.170533,4.4557355,3.4471171800000007,2.81743906,1.7974412014285712,1.630720115,1.1421211414285715,1.0250914897070036,-0.10491921022637563,0.029113569828630226,0.0001324132456302881,,
Total S. & Cent. America,11.412351612903226,12.383352688172046,13.392390860215055,15.997032258064515,18.540505376344086,20.150933118279568,23.945537655913977,26.61451847311828,30.735090580645156,29.850099526881717,30.44454349462365,31.421436795698927,32.270595645161286,34.320238043010754,37.03444735483871,40.277728677419354,45.34742591397849,46.12988438709678,45.92561929032258,53.596248451612915,58.02060067796611,55.75033004949152,64.32076187847457,70.11135809677418,75.6870515483871,82.34237596774192,85.60341,88.113496,85.26284199999999,85.45859826000002,96.88301712,100.10688800000003,99.36399000000002,103.1859835,97.84593200000002,101.26090909999999,98.54009829142858,92.42325424500001,91.57493380991858,58.51231959090112,-0.3627901496891641,0.007167448252443531,0.007558160636571496,,
Bulgaria,29.24,32.21,32.39,32.36,30.88,35.22,36.82,34.150000000000006,34.3,31.674953416138887,31.04144790427395,32.71286092918806,31.501186733058,31.029331783795545,33.22759344794985,33.57519594044364,29.708011197611246,30.11079998473388,25.297804202630076,26.43197875029878,26.611280336023132,26.01805667445428,27.299254957494888,26.485011300245382,24.69480439463488,25.67786491003726,28.72444471448926,29.062532453208313,27.299370354414343,29.438107204424586,37.13195573361278,33.43041562035579,28.634827535710713,31.326331011894307,35.912757182664,31.288951268147937,34.3188200000001,30.871254424859263,15.444554811172523,12.29411873835428,-0.20615851995106338,-0.05536882021993583,0.0015880574374633899,,
