"Data Source","World Development Indicators",

"Last Updated Date","2020-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Antigua and Barbuda","ATG","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","0","0","0.0122204570450935","0.0182575038340758","0.0230066390586998","0.0209198768715818","0.022237046920169","0.0205534003031627","0.0167616493462957","0.019733812791896","0.866730118871631","3.26892261287586","3.48128024755771","4.27100961015975","5.21816588365444","4.00114163008467","4.65362865221489","5.00200031520118","6.38855864046437","6.87642730271505","7.32511497994414","9.30259862241703","9.74112418951663","9.47335500440687","10.5745085378103","9.61139896373057","10.9943050393223","10.6361624962934","10.6425441450822","10.2854190179628","9.30668170357839","6.8814841314458","7.31055892814499","7.53203950109045","7.29740561946294","8.62995862388241","7.02016640812297","6.25742747769703","6.63217430096555","7.85799525603186","7.74072732817444","7.70115711323657","13.9547361662078","13.3172549481835","13.548307940389","10.4240476117488","9.76508956846434","13.1077171278176","14.3804536085867","16.1518773050646","17.6468725633384","19.2972229989721","19.3430715070806","20.4526061509248","21.9097412431927","20.7954779685741","","","","","",
"Austria","AUT","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","8.29555757026292","7.92403810466411","7.92400370713624","8.0779788247157","7.35323683152392","6.12300933552993","7.28099630212097","6.44893899204244","6.81647940074906","10.1877916168588","12.4187432286024","16.2506205233671","15.104580812446","14.3194462414284","13.7105223768897","13.0106203303467","15.8982603203766","15.0235747963995","14.3615468322849","11.9536283802274","9.19230769230769","7.95341570799602","9.80939978690659","8.15067187648909","11.2425893478626","11.3506469754469","11.5833276485436","11.3991305747867","11.8652516147791","13.2987488556607","15.6625283998702","14.8801339152269","13.292216504135","13.2175741176929","16.585749649786","16.1513646743267","17.5551573524471","15.2033761336087","15.8594169200501","15.5050403898792","13.1125363262852","14.3219742250315","15.3279741705927","19.2161385269463","17.6809582230258","20.2040721385706","17.1290498667437","15.7128123760413","17.3270932448976","18.6124012304723","21.1249153590249","19.9736639260021","14.1333139281036","10.3020914020139","8.77207218904181","12.6013956575944","","","","","",
"Azerbaijan","AZE","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.422598479613","54.5586353944563","33.1579213682133","26.948716602803","18.3199590233908","18.5813189392161","18.5813776555276","18.5317177476835","19.7410823424825","19.5587588028169","19.8459810685063","59.388508170796","58.2268327896904","52.7060039462558","59.0599705665931","61.17086393844","64.8453734262315","70.9067606536367","81.735434089544","85.122959508162","81.4537680384821","85.1483197004041","89.8903775883069","92.9648026034084","93.8612099644128","86.0823071937783","","","","","",
"Burundi","BDI","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","0.277191129883844","0.318173310874041","0.210886292390995","0.122262385711248","0.121648581577539","0.135305370223487","0.158954433062522","1.42670212316914","0.801209372637944","4.94085376307218","13.2850637224388","18.575683725968","20.7663248785753","23.7030653699372","25.7196199839297","21.9682493017786","19.5615729049509","16.0404531780068","13.2597559287169","14.014064155669","11.2410766419921","9.80000399592416","4.72007683380687","7.12178758025025","5.20208604954368","4.23576672176896","1.68862046823207","3.3596996486274","3.94942749570041","8.03564753203642","7.68935298469243","8.73205405557272","9.33762778322364","9.72198435805218","11.5992206445102","13.8486860003265","14.6530384093268","14.8174310630483","18.319829424307","23.0681572823453","19.302187911517","20.0717392963443","22.0758843079356","25.8601500700087","25.4608609059547","26.6588106266553","27.2940674349125","29.0032903756512","29.4868573753036","32.6370175712091","33.4850212611768","28.5775271305637","28.8479680474388","25.4661408889538","27.0174260859836","32.8061195145799","","","","","",
"Benin","BEN","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",
"Burkina Faso","BFA","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","39.9029126213592","39.9029126213592","34.6866096866097","48.3537766300839","40.5654578979717","39.287733182589","46.535677352637","43.3528616493916","45.6286427976686","48.6187845303867","50.4507888805409","57.9051383399209","62.3070200990387","58.8502269288956","64.2446996466431","63.1666666666667","75.6935743690711","77.5875248432961","78.8756148981026","84.2602172788412","88.1015719467956","86.5977063188667","86.6065609385184","84.6381847914963","88.0251712011845","87.1012724420429","84.5083487940631","84.5831392640894","84.9688581314879","88.7832096886691","87.5517479300828","89.2472542191267","89.4581980519481","91.1031884292833","90.7815631262525","90.9755849784972","89.895178197065","89.8123794494126","91.6157839524437","92.696739396911","86.660023101488","84.1357439973642","83.1494728915663","82.0109230906975","80.7035976343394","","","","","",
"Bulgaria","BGR","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.82330899308224","5.60019129603061","6.44077933429945","19.3243153195176","18.6789388197076","7.56507913908071","7.06034946894425","7.76748104465038","8.0006316288128","6.70285579419401","7.68144727081289","6.98333177263789","4.72067760024401","4.85259021767953","5.28683026907599","4.70402991684299","4.38278127440621","3.64960041736821","4.16272916272916","3.60643074397721","3.93204766669699","4.74484638037888","5.44052914735543","5.29337879059752","4.62707345272646","4.27450724732164","4.15209003858225","5.05807338070804","5.43082031159302","4.56453640761182","3.82421730745558","","","","","",
