"Data Source","WDI Database Archives",

"Last Updated Date","2019-05-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Bangladesh","BGD","Electricity production from nuclear sources (kWh)","EG.ELC.NUCL.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"Bulgaria","BGR","Electricity production from nuclear sources (kWh)","EG.ELC.NUCL.KH","","","","","","","","","","","","0","0","0","30624000000","84282000000","164637000000","194172000000","195030000000","203940000000","203445000000","300927000000","354618000000","406494000000","420255000000","433323000000","398310000000","410388000000","528990000000","480678000000","483945000000","435072000000","381216000000","461109000000","506055000000","569613000000","596706000000","585783000000","557667000000","521862000000","599874000000","645249000000","667326000000","570240000000","554895000000","578243000000","545804000000","380718000000","362595000000","305120000000","213486000000","179454000000","","","","","","","","",
"Bahrain","BHR","Electricity production from nuclear sources (kWh)","EG.ELC.NUCL.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"Bahamas, The","BHS","Electricity production from nuclear sources (kWh)","EG.ELC.NUCL.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Electricity production from nuclear sources (kWh)","EG.ELC.NUCL.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"Belarus","BLR","Electricity production from nuclear sources (kWh)","EG.ELC.NUCL.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"Belize","BLZ","Electricity production from nuclear sources (kWh)","EG.ELC.NUCL.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Electricity production from nuclear sources (kWh)","EG.ELC.NUCL.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Electricity production from nuclear sources (kWh)","EG.ELC.NUCL.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"Brazil","BRA","Electricity production from nuclear sources (kWh)","EG.ELC.NUCL.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","54219000000","111573000000","4752000000","32109000000","20064000000","60390000000","73821000000","47586000000","58047000000","14586000000","1815000000","83127000000","80129000000","104577000000","107745000000","131241000000","199518000000","471207000000","456588000000","440814000000","383163000000","305505000000","385112000000","321100000000","321287000000","259140000000","203322000000","172249000000","","","","","","","","",
